"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,1.36444479005997e-05,3.55247325378328e-05,6.27968295860823e-05,7.6601222050243e-05,3.84931856502337e-05,1.1865025310825e-05,2.11943039804214e-05,1.19688322711334e-05,1.05477370296506e-05,1.68543980113512e-05,1.36650331931249e-05,7.2495451736153e-06,1.25008685116079e-05,1.17755822291666e-05,1.49477177329832e-05,6.44982567469181e-06,1.22435091672857e-05,7.57870009851539e-06,1.16390846058929e-05,7.84865653200042e-06,8.40913406990795e-06,1.8012616723466e-05,5.11571151315184e-06,5.41845228453718e-06,1.03503599987894e-05
1986,0,0,0,0,1.22160691094999e-05,0.000119939587620544,9.64649723560831e-05,0.000515497231518838,0.000604912000195114,0.00166411734041383,0.00271141731919194,0.00380584539673716,0.00613802677842714,0.00436775207328179,0.00375862547753972,0.0064522141320571,0.00316203139801534,0.00346171951805974,0.00203815401247672,0.00427488522361723,0.00227366425898782,0.00192755408174937,0.00353802274284736,0.000718089883731639,0.0010467565713391
1987,0.000417968040271063,0.0065891192329731,0.00764684925548885,0.0268680327355794,0.00341356071959838,0.00597246837671324,0.00263729901637177,0.00116786165054266,0.00481977476619794,0.00332629809339083,0.00206897254285267,0.00382799593485205,0.00327724893127167,0.00306804367980821,0.0032616827510092,0.00193018971582307,0.00279718574488115,0.00189980872632306,0.000617583570855033,0.00130009885719883,0.000445319921575324,0.00163484429004338,0.00115794895863892,0.00088170557856239,0.000375326861138033
1988,0.000836755440111654,0.00204549057075507,0.00650445513426966,0.00584898516856693,0.013130890612321,0.0212977170727803,0.0188589414774144,0.0151153220397055,0.00849383539150385,0.0127935555050267,0.0138722464440285,0.0160887171237847,0.0216566451638303,0.0243176884047431,0.0313090387935679,0.0273906011802713,0.0214154649720799,0.0161585119694949,0.0118150287487456,0.00727099048825735,0.0060949388554395,0.00515445517314733,0.00338700611152352,0.00304381715936081,0.000912043890508623
1989,0,0.000126545955127445,0.0013920055064019,0.000379637865382336,0,0.000446632782802749,0.000407981868906357,0.000815963737812714,0.00065677923317276,0.000326099192059186,0.0017856722220133,0.00076385657981906,0.00071477605423634,0.000597269095903712,0.000326099192059186,0.0011841085801211,0.000281599515530854,0.000388676862177154,0.000271169903844526,0.000135584951922263,0,0.000388676862177154,0,0,0
1990,0,0,4.19073340175075e-05,0.00181464419924429,0.00278139707181937,0.00761084120783808,0.00865303563661467,0.0139522039458049,0.00751972663625091,0.00386880487029432,0.00619622050254559,0.0123866848165038,0.00891895576216717,0.0144786759214248,0.00112344834828083,0.00709010668752388,0.0160609737657021,0.00905707829491163,0.00740618064918953,0.00194245307700031,0.00442065855502163,0,0.00442065855502163,0.00115542064495939,0
1991,0,0,0.000657841697464236,0.000663190003947685,0.000609706939113194,0.0222296460117116,0.0182986800721595,0.0698118181233989,0.0442504524529793,0.0185153651363051,0.0213397428689618,0.0221018765428533,0,0,0.028249754845578,0.0129562724561554,0.0152426734778298,0.000508089115927662,0.0520283254709926,0.00101617823185532,0,0,0,0.00533493571724045,0
1992,0.143949010342807,0.182204367083069,0.0317534581638544,0.0334167345438658,0.0668334690877316,0.15064313675499,0.0415131428438232,0.0979489349960419,0.0713732017467748,0.100211591468967,0.0438168202088869,0.0563947712600805,0.00698576079604796,0.0209572823881439,0.0141299355607211,0.0703328498663552,0.0496923954154616,0.0572894216268191,0.0214395907379014,0.0212741103253942,0.0162165913829173,0.0136086249273662,0.00680431246368309,0.00714417476467314,0
1993,0.00528377980894648,0.0211351192357859,0.00754825686992354,0.0150965137398471,0.0181158164878165,0.00528377980894648,0.0182586213475177,0.0891272330321197,0.0331477280292273,0.13208429487654,0.0636569662696885,0.0542216451822841,0.0323317002595058,0,0.697797381696637,0.000385206029055095,0.0598906310202857,0,0.000385206029055095,0,0.000385206029055095,0,0.000385206029055095,0,0
1994,0.684353835486769,0.101841004968069,0.0203386711625248,0.00140266697672585,0.00578600127899412,0.0203386711625248,0.00683800151153851,0.0723776159990538,0.135247164525581,0.118553761267474,0.150355751018678,0.138924166634278,0.0536370157441378,0.0367432098499391,0.0443176115242586,0.0154978038577511,0.026644007617513,0.0302976066972783,0.0255970060901772,0.0176736039067457,0,0.00504960111621305,0.00504960111621305,0,0
