"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,39.3336295576967,127.456637944164,201.444567021116,246.409127217881,316.584603882171,379.665201695048,448.544842391645,464.329849376226,535.519640038894,660.916758241873,686.901522521822,741.828419625175,759.02999696378,866.210175354596,863.645984114431,979.237329537274,927.319728628234,1041.38999284915,963.927025423883,1065.80021705142,1151.56170364602,1097.82016720978,1002.29674534737,1210.47771374987,1276.62627433956
1986,-1,-1,-1,-1,495.036666666667,495.036666666667,545.18285206001,674.091852238336,725.736465062652,826.892164779313,804.226674163624,836.718081446271,925.037506585019,898.125398504078,952.849584417083,1101.77786140725,1012.55369194253,1035.35395026106,1008.08184542266,1158.35218203091,1066.72398290954,1096.09236454594,1323.42009792688,1068.25975521594,1076.2735025865
1987,51.38344469597,79.7433830446727,139.730827212806,187.362967857991,263.695029262246,335.326102510327,414.172495706313,487.949105617906,574.624757755462,638.457453139776,613.105633493331,776.046146087514,818.778872459162,896.837742594703,925.863826581343,940.16825439327,1017.3227269133,925.57120487889,996.862730193351,1071.79189760975,1264.86871482705,1180.48640292608,1179.16675741532,1049.45821863556,1209.69945924113
1988,34.124,93.283561580855,201.443966044892,245.02178563336,328.929779856499,402.044933507847,462.522022343761,528.477729696967,589.034267096161,678.498828338817,718.380159331252,742.4242717286,805.892027008565,863.69637835575,902.878327530877,943.668916752194,979.211456332837,1020.24099331257,1078.02888451688,1086.48390218693,1145.51552308418,1167.42284757634,1140.77032611467,1205.64753604207,1439.88812025833
1989,-1,121.67,121.67,121.67,-1,548.72,583.10652631579,583.10652631579,785.830871839581,897.209850746269,802.495247715248,846.26868065967,966.153686770428,1024.00759022119,897.209850746269,1076.38038167939,950.618148148148,1023.99744186047,1176.49,1176.49,-1,1023.99744186047,-1,-1,-1
1990,-1,-1,244.47,317.775703878461,369.164305483789,469.132884414226,540.408230517444,536.702189899094,545.019322618071,615.804873600632,767.745843471908,720.479313522497,730.55192250354,867.058711922044,852.214437941127,1139.50814047644,1028.33195370673,989.953181169901,1051.46753496317,1334.23624308063,1124.72040609137,-1,1124.72040609137,1300.83578191382,-1
1991,-1,-1,185.476788617886,243.223266129032,250.8525,382.209888407113,406.728072682728,493.076044684666,584.608535016253,548.856576271187,737.991583333333,811.373609195402,-1,-1,1001.07487410072,1090.73068627451,879.8635,1756.16,1143.119453125,2106.895,-1,-1,-1,1391.96952380952,-1
1992,38.9689075630252,78.216489626556,147.242285714286,232.890542986425,232.890542986425,352.081662236542,485.907540983606,511.858040582118,557.169045862914,617.081863406801,727.900541868955,530.979517365372,880.976623376623,880.976623376623,1008.38728607436,957.767388591827,1062.12148856334,1012.00693383264,1132.97276190476,1050.22501272232,1332.28235638864,1418.73653333333,1418.73653333333,1132.97276190476,-1
1993,28.6160714285714,124.57375,143.17825,232.557,305.620833333334,357.809285714286,455.029502793296,496.818472513639,544.145713406504,669.63583597189,728.822055335969,832.596658932715,803.408249027238,-1,1272.79518571228,1157.5950867052,1213.63994423274,-1,1157.5950867052,-1,1157.5950867052,-1,1157.5950867052,-1,-1
1994,23.5308155339806,67.1848876404494,149.141551724138,156.25,428.75,658.571293103448,428.75,673.53324127907,687.69107505355,699.558550004312,706.558482956463,744.4654490605,864.003783550224,968.066480409617,1083.60686046512,1046.3610591133,895.200924068768,1402.19625,1091.31622496804,1367.64,-1,1160.3025,1160.3025,-1,-1
1995,-1,175.76,175.76,242.926363636364,340.213137254902,-1,428.300072992701,-1,-1,674.660909090909,-1,900.64671875,1131.04710280374,1400.7152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,-1,-1,-1,-1,-1,-1,820.347049180328,690.03,-1,991.875232452142,820.347049180328,820.347049180328,-1,849.815728643216,-1,-1,1129.32310344828,-1,1443.56526315789,1245.01370860927,1245.01370860927,-1,-1,-1,-1
1997,57.5638888888889,-1,-1,-1,-1,377.915454545455,424.774031893852,508.223391250371,594.47614598538,630.223344428229,710.463884251023,769.498072340004,782.423136507599,811.169533807438,924.784201931861,954.257774461551,1081.01806887884,1013.21907890458,946.189009165201,1180.60345191116,1072.0575399537,1131.6606427836,1098.07568835831,1232.06122951125,-1
1998,64.3862131706872,82.0747630681294,97.9840176714585,319.375817154021,365.489657296242,371.45902236284,466.224055369787,493.350215725077,577.083871002264,634.20862133727,650.279738870267,677.385528644642,739.327381546849,772.863813856254,807.4024999731,925.653449974231,967.957377768321,1006.73000780008,1091.14096735434,1032.26166349621,1108.37552411198,1176.93620460163,1352.57329100742,-1,-1
1999,33.75,-1,-1,-1,339.213333333333,339.213333333333,339.213333333333,-1,507.856,-1,690.6375,817.186199261993,690.6375,784.083542234332,886.6072,690.6375,-1,-1,1035.30638436482,1083.37724137931,1083.37724137931,1083.37724137931,-1,1407.64,-1
2000,28.9826025423729,33.75,231.297777777778,360.456215804218,381.926378233005,483.985564850041,429.034392904408,530.985389049829,710.908793453877,922.529987790566,820.482325355251,864.599086021724,885.920527585544,961.519643652383,1125.35319321397,1135.32074997352,1258.22270614677,1138.51673499085,1134.82192625832,1422.07431798443,-1,-1,-1,-1,-1
2001,23.7165142857143,83.8312627986348,140.262729714004,272.352751159196,321.207293233083,493.828853503185,493.828853503185,504.915517241379,504.915517241379,887.621111111111,1113.44253012048,887.621111111111,653.982619047619,-1,1709.955,-1,2053.79,-1,-1,-1,-1,1401.45925925926,1113.44253012048,-1,-1
2002,79.2154474402852,361.078970833006,-1,-1,-1,-1,496.815120962333,548.431635626574,508.656594098727,567.398607585382,548.431635626574,752.212475085855,878.623686868688,752.212475085855,811.170086926821,654.082869005023,982.020793554272,1020.43898457048,1104.28598540146,1236.85112224449,-1,1236.85112224449,-1,1104.28598540146,-1
2003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
