"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,0,-1,0.0666666666666667,0.0344827586206897,0.0625,0.0625,0.269230769230769,0.285714285714286,0.65,0.75,0.705882352941176,0.785714285714286,0.823529411764706,0.909090909090909,0.947368421052632,0.9375,1,1,1,1,1,1,1,1,1
1986,0,0.03125,0.03125,-1,-1,0.222222222222222,0.25,0.32,0.75,0.9375,0.8,1,0.916666666666667,1,0.9,0.916666666666667,1,1,1,1,1,1,1,1,1
1987,0,-1,-1,-1,-1,0.102564102564103,0.357142857142857,0.555555555555555,0.55,0.818181818181818,0.9375,0.866666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1
1988,0,-1,-1,-1,0.166666666666667,0.4,0.583333333333333,0.4,0.833333333333333,0.833333333333333,0.888888888888889,0.875,0.666666666666667,0.875,1,1,1,1,1,1,1,1,1,1,1
1989,0,-1,-1,-1,-1,0.142857142857143,0.4,0.4,0.5,1,0.8125,0.8,1,0.666666666666667,1,0.857142857142857,0.666666666666667,1,0.8,1,1,1,1,1,1
1990,0,-1,-1,-1,0.142857142857143,0.142857142857143,0.133333333333333,0.428571428571429,0.777777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,0,-1,-1,-1,-1,0.363636363636364,0.285714285714286,0.6,0.363636363636364,0.333333333333333,1,1,1,-1,0.666666666666667,0.5,1,1,1,1,-1,-1,-1,1,1
1992,0,-1,-1,-1,-1,1,1,0.5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
1993,0,-1,-1,-1,-1,0.5,0.666666666666667,0.5,0.5,0.866666666666667,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
1994,0.0666666666666667,0.161290322580645,0.476190476190476,0.615384615384615,0.285714285714286,0.714285714285714,1,0.857142857142857,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,0,1,0.857142857142857,0.714285714285714,0.5,0.75,0.666666666666667,1,1,0.933333333333333,0.875,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1998,0,-1,0.0434782608695652,0.0434782608695652,0.260869565217391,0.291666666666667,0.333333333333333,0.75,0.75,0.5,0.5,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1
1999,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
