"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,0,1.48819312801197,5.11938436036117,4.28599620867446,0.441722778450825,3.10829428327954,0.808494739363593,0.0887504265432592,0.0562807582957253,0.0238110900481915,0.103902938392108,0.095244360192766,0.0238110900481915,0,0,0,0.047622180096383,0.0238110900481915,0,0,0,0,0,0
1996,0.0411201520758379,0,0.34368592238421,0.823358579651012,0.833380778769729,0.109871870970366,0.64850408526912,0.369484506517693,0.173880672464007,0.448198421937433,0.398676320684684,0.597871361854449,0.484315326848479,0.074836469958508,0.0069655395605539,0.184969447014448,0,0.149672939917016,0.074836469958508,0,0,0,0,0,0
1997,0,0,0.00227758252634874,0.165939489546854,0.322768648988312,0.287784255259911,0.771636512900655,0.848294699052522,0.342093544306057,0.526766166996054,0.412400301169536,0.753489792302094,0.708796806585174,0.11336181265302,0.0573879046717477,0.255349555973095,0,0.226723625306039,0.11336181265302,0,0,0,0,0,0
1998,0.00124941670016846,0.00312354175042115,0.0116472973640111,0.041980178723032,0.160632484983873,0.251667796991434,0.12402320385444,0.402227565620873,0,0.353479678929201,0,0.176739839464601,0.476945388397216,1.75405653748118,0.300205548932615,0,0.349604350273019,0,0.300205548932615,0.0468817597221636,0,0,0,0,0
