"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,222.470399999999,260.660058139534,313.70125,445.703445635527,354.289255712731,473.922088353413,674.33475609756,694.143269230768,767.974999999998,727.982812499999,767.974999999998,767.974999999998,-1,-1,-1,767.974999999998,767.974999999998,-1,-1,-1,-1,-1,-1
1996,80.6,-1,188.164721921916,267.322578964654,306.626831477551,537.963098001013,387.667807945208,631.93683482363,725.326179078827,980.147178238401,1021.63529987675,942.587983955539,1022.89983193692,830.116273196376,1574.64,1334.8917037849,-1,830.116273196376,830.116273196376,-1,-1,-1,-1,-1,-1
1997,-1,-1,243.89,327.881322805801,330.252026029761,520.268476662909,477.137498348074,596.889893364573,694.975132966119,922.40833956441,1002.21494403954,890.612563646117,999.935291070628,816.73874928497,1616.53957858562,1325.25392292719,-1,816.73874928497,816.73874928497,-1,-1,-1,-1,-1,-1
1998,138.24,138.24,266.717418748056,398.67467775105,431.904094317139,446.71338779249,461.264274332168,606.120494268313,-1,625.783478110804,-1,625.783478110804,743.440971744336,931.758410012009,812.709400028004,-1,1329.40976903877,-1,812.709400028004,1667.5632421752,-1,-1,-1,-1,-1
