"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,0,993.236761398219,0,2689.04473631288,0,845.264528125487,0,228.586464462638,0,274.294828196397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,21.8169077108372,0,40.7355375532743,373.513255230498,162.315305083284,73.0105450309873,303.358098735365,200.517256131151,0,345.178830895327,70.396955456131,303.358098735365,0,536.3192420146,0,0,0,0,257.882397486897,345.178830895327,592.093011168594,0,0,0,0
1997,0,1.66643880705359,0,0,213.190000534557,0,0,370.297513980571,0,0,798.377367469269,0,1388.80477624356,0,0,962.180279026831,0,0,676.806001542121,0,0,92.7698192339786,0,0,0
1998,0.172719364631288,0.43179841157822,3.10653708832009,16.7364342243363,69.377827944871,112.423374192316,57.207473126269,243.798370882464,0,221.201742921806,0,110.600871460903,354.580743019006,1634.35693043464,243.979871558103,0,464.767438551402,0,243.979871558103,78.17829924117,0,0,0,0,0
1999,1.33315104564286,0,0,82.3113423260277,0,0,720.567756499001,0,0,0,1638.25597336862,0,0,2442.89701473775,0,0,0,3299.0655201489,0,0,0,3060.7554188457,0,0,302.215294526297
