"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,201.611302132748,289.986329777391,693.52668513161,1281.75580183382,1613.22247193831,2244.85859390093,2865.53240474067,2982.82235201259,3364.34710500144,3743.846758171,4386.45977235546,5296.78237579174,-1,5240.57723786459
1983,-1,590.562569592636,1031.86129527803,1541.25142812694,2013.86834161835,2348.11591014672,2770.5512064943,3256.484243401,3775.58505844419,4424.07049841469,5026.38737905801,-1,-1,-1
1984,438.476801648235,859.320232298741,952.103457098143,1524.18748440455,2039.33809801144,2622.79307479885,2878.62189994222,3002.88722048753,3825.95335319775,4889.48018732027,4132.95839655452,5003.45649690028,-1,-1
1985,161.223567291392,659.481947408216,1184.41191496487,1749.05348931991,2232.48055149787,2912.37237436614,3383.61284913055,3645.69770608803,3942.80428282712,4746.14983229387,4585.34199772558,4435.66667052565,-1,-1
1986,168.869261609386,249.532286000979,1274.11302065051,1677.69483287297,2336.63884043151,2642.23728513187,3437.33174607009,3450.15102214699,4396.68118478889,3966.11718213054,3403.61661239716,4971.32099337203,4529.39965886496,-1
1987,160.1945596679,448.421688271409,1026.85408111302,1663.89833276338,2354.52672544228,2945.41900717439,3104.46671811742,3149.95011450917,3446.55488585166,3522.95220377811,4972.77648670206,5064.87411073927,-1,3348.85025390426
1988,160.669971038864,353.81713405982,785.294978346538,1454.07791760521,2143.11943443275,2823.15459654508,3588.41701627286,3658.30070307442,4397.80313303189,4433.19361843126,4816.72887002938,4428.25383313593,-1,2676.12917373617
1989,-1,306.32445623612,841.294103535298,1158.07945338363,1967.95067115667,3001.29925176523,3933.57807544839,3863.90743435456,4806.85587930817,4624.31002889469,4913.26816197999,5273.13021186146,5247.78753878752,4523.47027231745
1990,175.655752830718,321.595899607533,687.40396770063,1024.30887308018,1511.29595954668,2442.757862822,3548.71958211023,3520.75872372138,5018.74410215373,3947.37123180534,-1,5071.92335785649,5163.45091438759,5164.20952057787
1991,164.543097107593,306.225291594812,703.131586333959,977.517846722264,1387.28556203759,1855.65544174458,2744.47081674099,3510.52168717779,4125.80818364232,5217.06143674822,-1,-1,5284.20908109675,-1
