"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,20.7020766352035,9197044.36111309,12556035.3552925,23519299.6215967,43687166.8985104,5869443.74786947,22216295.7361725,5989920.00477358,38061799.6019405,1072687.08001802,1505792.06018096,271442.822816717,0,0
1986,206.042670345898,29274247.0517982,35951816.3225914,23980541.0049234,14940387.4116784,31677419.3004583,1801160.19086517,9936330.51784937,3409279.0259601,14994338.7593064,246455.377537885,2768.12217786671,1163.2449488456,0
1987,457.96624836351,64377862.6992265,70689090.4568485,47676662.7070789,21006466.0924199,12967478.2056258,13843339.4595993,655987.123005713,2936300.09956686,1460022.39533479,2622805.91073839,160963.912759059,0,149.487380918598
1988,68503.6835667201,15028972.9155767,100244666.800188,89620219.5612254,37643015.9054448,6676756.60474766,6531046.31118524,7811052.47674365,360472.307181373,579232.928656795,2714.1221399852,1763257.11720688,0,212.329372226807
1989,0,6661354.2487238,26064467.2515796,114559547.7569,74718866.2964932,21672435.7275572,5378213.16248055,791784.259386618,239767.948841498,130222.806009379,50168.146701622,8321.48390518284,2107415.79898755,28716.3146854975
1990,1366.31244735558,8191108.86918843,21161528.0376855,36585976.7643244,82765617.1033704,76979514.1745497,9187005.76198254,73313.6344052244,29764.990654675,6264.34957110057,0,1854.21302698665,1876463.58331049,1854.21302698665
1991,4047.19927503752,27632552.8804539,25032393.4490192,20680328.9729936,23344866.3735001,55944827.0128441,14015725.8052849,464124.556576442,12352.3087895529,7444.09209614432,0,0,3722.04604807216,0
1992,146253.43561435,35774667.7417141,71216128.3027523,41637945.8726734,16997158.9217567,22062154.4111075,23005179.1342901,7112349.68044995,893687.839812175,38505.5800986526,25813.581287235,12532.0814370959,0,0
1993,7558.82874828679,6136886.4211388,99847804.0335869,73114096.5259862,19830584.3848754,4601284.36178225,5736711.84089485,6532821.5175639,1847783.8913494,2744.00846813388,658.073530686381,658.073530686381,1125.67314963514,0
1994,16087.2001610331,9491455.07786324,18456145.2135753,113288781.552185,46414707.8702924,10439051.4493553,1378512.76299191,2951255.6096525,3083569.43726563,161967.696431966,3463.29700239456,1295.87622362518,12544.0981440584,0
1995,168162.444724477,12866014.6764492,17457572.9739319,18582331.7509148,68681125.9533482,17549495.482832,1473829.33896811,286806.859504161,308879.566859525,338851.839778325,58214.0589705122,360.125560897834,11590.9811897879,0
1996,34652.2777753572,10843926.6228697,39147243.531599,15215711.1166148,14759187.3507588,41970266.3142917,8648875.05186791,1067863.64944852,1113680.17222847,11549.9315860232,7306.71060865854,2070.95910363605,355.113435574906,0
1997,347906.891866276,18513693.7008309,15750752.5450581,27657137.0281543,7370970.9881113,10222712.5469821,17530562.4915347,1508036.30100101,882242.228896095,277250.451317982,1081.09399473762,1337.68413266085,273.438069666029,0
1998,23419.2544048668,6985562.24099143,37246424.238188,11018619.891112,16150607.4315148,4866371.36208603,6125788.52605711,7997290.15718654,1375708.02734467,1886.14691312332,2051.99180796071,924.004347517122,243.105011567787,941.661859761643
1999,29601.5438934223,17199768.9929722,14057753.3578011,44729871.2336312,7934558.40105049,11897903.9863007,2085861.60733912,4880693.90993086,1731128.53917498,5796.54185552206,0,0,118.327487508253,0
2000,2675.37743770274,12402237.208576,21707634.3775778,5849836.96020205,16799623.3461099,2228559.2619706,1726785.30721206,1397884.01457175,511004.833759706,2104009.41964048,1175.80064665399,181.585857713868,0,71.1669806195668
2001,9923.35192850736,21570573.4504844,40190046.1081717,18664733.3359877,4217358.03772254,9760541.45933503,1094932.73887769,1107926.45028418,8863.85944019019,201339.674251695,5239.69983064412,0,0,0
2002,3784.80224511641,38849256.4499721,78080704.9617614,60857469.8245143,24585891.4272712,4702360.57514993,7913836.63550442,610288.97250577,962989.340235763,124038.175751961,798985.195668692,3333.82172992611,867.799873155559,0
2003,92385.9970092974,12388773.0695894,115017037.662027,124360999.196013,58500952.0735402,21672909.8132622,3793670.1802216,3411065.95636558,731369.026038302,2157583.47774613,460040.529400279,1411.31637352711,2487.86520906879,0
2004,73554.9473018832,41620429.6783489,24469762.5064079,131201901.66206,82628543.6745016,31763733.4794976,12173173.4445697,863493.099562427,1299175.97684166,12446.9482554554,4449.77547546162,432794.225190077,0,1912.64157187222
2005,41776.3990723016,86605159.6346747,90816715.8772916,22586454.7324552,129140908.332298,50882533.205672,16535221.4952252,6137089.65204374,21249.7987758896,694747.409029065,1166.11141804738,1684.13615148979,398.940190248355,0
2006,5482.83450785187,5088227.31177783,154075225.093494,91230343.4519756,13384819.2866994,73266224.8626623,16775459.5020304,6823698.15460134,2375855.09428057,551491.369939207,7940.314825165,0,0,0
2007,47736.7089521876,4258777.12654555,21569605.8752024,173260465.944739,57953691.7883457,7397374.83103895,28786246.3334992,5502975.87625561,1868077.7173764,157606.713053723,1386.77712942529,1188.36018359066,851.87804382219,574.402270610408
2008,21280.2360964404,9393102.91905458,15552368.4617468,32344579.5723313,130752403.338032,23033648.6071163,3962660.44305049,11217875.8536022,2628466.66165535,128792.737533845,980.370403803558,294.39763771127,0,0
2009,1381.59144769014,11963805.0792775,16130126.5794208,18868211.0173237,27203772.3022069,73549142.9644171,11501579.8202304,2810131.61992762,4837295.65181633,575150.14328245,370366.899656482,1016.99531055354,0,0
2010,47837.4054023526,2957749.32523486,41708747.1723614,13161955.4536656,9209313.47091687,20221973.4008274,30118373.2958354,2967118.09304451,900720.731742999,1426556.47118848,81003.9222368836,300613.69118579,0,0
2011,20287.9653597311,4701441.81552954,12251847.3368748,68004745.5691664,9112979.44324909,6624728.7633746,17549253.4095874,26935091.7049293,2941904.57763432,489883.933009783,636829.532583084,296145.194432466,0,88.4454539013577
2012,3210.15477036544,2194075.74118273,12213852.0086807,17639454.9908535,50573733.0724888,4188519.07701732,3223538.07725308,9535703.03427146,10696449.1223402,1254055.42568717,340501.988907102,353567.791355436,228341.644871152,313.145206436593
2013,1929.80101898672,4699009.62205726,10079205.3062728,19471074.2413513,25071783.3126732,52498230.9897874,5224785.72912906,2137453.99387274,8505627.4162631,7411426.26232699,1051955.63646607,518838.880489414,77431.8740608311,635.751654958943
2014,1100.21516247946,3520375.98305146,13694373.3374284,12876112.0912397,17039036.8184654,19602003.3222414,26309639.4883389,1740265.57738372,1332045.08855525,3197131.27524615,2517903.80273946,629447.77779319,83966.441531015,175883.687974573
2015,13311.2652199576,3093373.7241617,11116445.0459755,29793593.2476515,13932650.141951,16952235.0976208,19404116.2794756,18554618.1412597,1648309.9710857,969183.460692212,3077409.55089415,1915181.4146264,611.89224063909,324747.787385488
2016,2445.41416659656,16559571.2044429,9688526.74658876,17445016.1877551,27417657.4571855,10785767.6874493,13693161.6049724,10711812.4467425,9425568.94973204,922165.141113795,551523.75693409,1812153.55428166,2536035.42961859,285656.899749383
