"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,0.120898733880973,33538.7126609094,18685.0982757455,18862.2119284211,26287.4174752341,2144.2863687337,8462.23562160306,1855.09289729366,11286.0949042117,288.209718334102,348.104291512528,65.6936652298292,0,0
1986,1.21362641636593,107538.306030318,53077.983806892,19434.0823590856,7945.92401479793,13925.3313958937,583.142078253399,3163.95219014916,895.689203051204,3616.24409457291,73.3087674757486,0.53499401502849,0.250094888618701,0
1987,2.87387726473383,325561.35098833,127147.901798588,39173.7902861987,12329.2973599078,4841.89072751806,4507.25951844314,159.714854603067,747.64470016304,313.836102538873,632.922824637723,30.8620441913915,0,0.0444655368838767
1988,422.782374465243,63927.0453042044,191668.440645961,88372.5746866362,21100.8412764939,2773.67068770928,2125.63082514787,2173.94778429619,96.0347143997421,199.309795163096,0.551618766838149,376.20580123591,0,0.0787294626904953
1989,0,27953.2142041975,49509.155030191,116336.772989439,49653.518469551,8912.72122229819,1672.1514496091,192.09407383151,56.7132912615662,30.5010063868602,11.2505224534035,1.59136240055206,403.012527939808,6.85458693476771
1990,7.72420212468338,35105.1991788323,37100.7396625278,38121.0519405404,57853.2942559724,39961.6132514254,3570.88712482642,17.9544247498043,6.18014823113799,1.32232213184542,0,0.352899261008747,357.134052140852,0.352899261008747
1991,24.6466134757834,132094.632804422,41332.146807912,17911.320417743,14251.5213976184,25728.4111470481,5549.25035323867,166.030468718944,2.77269258322066,1.4268970344555,0,0,0.713448517227748,0
1992,957.08456321795,189934.784495705,125015.24563549,40396.4629698099,9939.6522543357,9042.08042035944,8000.64447699843,2607.03796556553,213.130956070606,7.65930328044682,5.07876328830339,2.44784460890053,0,0
1993,44.3739482448759,32661.1988381518,235834.161743534,75357.0626163679,13319.7748736984,1935.53625621328,1993.70206865714,2017.07480722124,508.472027304807,0.753620596298945,0.127122299332924,0.127122299332924,0.241099288034006,0
1994,96.1043174548723,47291.1812948746,47186.8915830176,143217.24559144,33204.2256106548,4787.14707682172,613.952456201892,718.347408466803,884.129181500339,40.058692992126,0.973880066754437,0.24977334201674,2.99443590113403,0
1995,1078.62992188263,66223.5024650743,33831.1254688071,30608.4800019282,59466.6130298934,8887.51348899311,532.453844305263,68.9203399861772,67.5529065365574,81.5293241147323,14.247528963143,0.224319000637149,2.25724574815086,0
1996,201.424035645359,51247.0068339181,77962.5050658577,16482.6784010579,14871.8653344475,27853.1162963031,3733.49962026978,301.748066423369,259.036692475415,2.93694025948984,1.90444099475589,0.518365869035144,0.107412521059988,0
1997,2149.93709351197,85738.337500683,30643.6211407468,30194.0088752635,6159.39904838638,7078.48972303189,9054.38248619814,567.008825409605,214.703686577922,68.6035913778302,0.281004029842833,0.513657837529122,0.0676448509392705,0
1998,132.717622363277,28560.3276360235,74671.149475268,11427.0465885155,11434.8750165249,2858.29184073257,3444.61184221023,3250.24712757598,302.897601897401,0.395813388850391,0.485342874632536,0.211956474761556,0.0635047142069563,0.210106747509396
1999,172.827157443214,66275.3378085279,26097.6541952803,50726.5946688465,5554.33992877955,5599.34811523614,908.12243142805,1666.68386503064,533.549344309643,1.58473979107309,0,0,0.0560286151001688,0
2000,15.5768582228894,59567.2504396898,36368.8517578263,5997.84092163467,11695.28665881,1021.65659894902,763.746478649736,513.29686425797,123.721841220822,602.659894817177,0.30169269791039,0.0355547690627604,0,0.0440707025017021
2001,55.9377967994005,102523.108964431,73611.9720108421,17523.3282475769,2811.7358287221,5141.47946012454,420.379818354527,317.891713512283,2.80321806318315,48.7427863021425,1.34749267010907,0,0,0
2002,17.8446595515971,190903.083689687,144482.586065828,62191.4394712545,16845.4490551749,2273.19861856595,3177.37442615972,180.610433358852,290.512532666004,29.8803531772089,183.965958583489,0.7521806300025,0.165907332978438,0
2003,192.382421979953,48749.9585442759,241799.620367236,127884.809698882,39144.2817867348,10035.8064793932,1694.26002848703,1287.30875711814,131.953193038819,383.827531306484,174.598599521624,0.2499557984282,0.568391040539868,0
2004,445.968777383961,196619.100850676,42087.2053014632,151440.752918195,58763.4208946077,16798.6407173795,4433.48870488368,287.400427495923,418.796161307849,3.22361739831098,1.416075677763,129.356798311495,0,0.367437838028803
2005,267.734991215624,468942.260134744,180523.034183304,23900.7894192756,102897.327352926,29439.682577493,7067.32766816437,2120.08344389682,6.94159540588602,209.844258388052,0.333109189546122,0.41027382602245,0.0957080403650027,0
2006,32.5090675304876,30918.4903043858,413932.483348752,109350.685619546,11121.1751681456,44517.8780656182,8259.71078557075,2487.38951805083,712.261706296926,191.042493269273,2.16682971934928,0,0,0
2007,285.133754938916,22599.430375081,66793.6125643531,264463.559419416,50898.4192976906,4679.20659040272,14728.2162926113,2391.76424192969,801.391120919567,39.2161654121292,0.448175058654557,0.568255233953078,0.267272398937746,0.112683807265043
2008,128.706996953985,44376.7256031659,36468.6619274039,55371.9279964967,142211.513081973,17285.5162359658,2101.68958819791,4899.94741623087,972.143614065448,60.9346378325601,0.311716678083947,0.0980950849087742,0,0
2009,8.35789629450098,68537.5515737621,33973.1646171875,24840.1965743752,31153.4286594948,60503.5894851292,7168.55688171959,1377.55417866526,1868.12124621489,211.291236110667,67.6753206446075,0.228017104644146,0,0
2010,175.656633171974,15880.6050107981,95365.6627976476,14774.702827695,8448.00687290171,16946.3196056314,19175.736484933,1510.15624787428,354.107250812646,557.92723993761,24.2543717570245,90.0418050658193,0,0
2011,124.800496760051,24129.2806520981,25751.2977672925,82005.699673199,6749.67946480364,4274.8800863764,10451.6952246068,13843.854271486,1309.21029197988,172.094628854827,267.682249831423,71.1206050004988,0,0.0420484238231953
2012,16.7430179838586,9944.83924867716,23953.1790955512,21179.6029056857,41505.881741786,2457.94234162,1546.9285983353,4405.4956632329,4506.88272320449,540.327315924849,176.885877458601,111.121201348061,71.3786720461378,0.0624879304742408
2013,9.41739802762341,20547.1062296373,16557.2140055356,19944.7977837618,18852.194217186,29252.2254553286,2499.25715993942,957.712432696125,2882.19115428983,2645.51706791143,369.744745291232,151.215732963111,36.8068885324529,0.186237498743665
2014,5.51044502628833,14647.1327622849,22728.013554455,12338.2940044102,11927.0981901613,10843.8393947225,11306.4788335784,619.082308163227,401.38684450685,998.84395641749,736.536878467811,175.599489125461,25.2169026164099,42.7302318854633
2015,71.8288615762086,11405.2595334739,17333.7975487171,26864.7687970685,8655.43557878276,8557.22799292135,7646.59576509773,6210.86450478136,462.771043536531,296.878780373752,765.021760177598,558.003366367342,0.155994488023768,79.0679306330448
2016,13.4107093585659,82652.5995682341,14237.9091984382,15737.1458878591,16909.4547895506,5170.54723864498,5787.80570900247,3473.25555044182,2620.55726411958,245.627996793587,163.210642502748,418.490133713985,637.710529803118,106.51308378092
