"Year","1","2","3","4","5","6","7","8","9","10","11","12","13"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,274.221375255471,671.981231781428,1246.90040122804,1661.90410068501,2737.24808097141,2625.34591679969,3228.90568634707,3372.45078346245,3721.89767304976,4325.69231950065,4131.94821551019,-1,-1
1986,272.220418948425,677.339524677334,1233.94254289101,1880.2580271161,2274.80541754283,3088.71586879809,3140.480614336,3806.31921691838,4146.38458222696,3361.88134140183,5174.11802769288,4651.21440614127,-1
1987,197.743842075106,555.95955135587,1217.05513708935,1703.78452877034,2678.18481155045,3071.34288650433,4107.23927111234,3927.40040680625,4652.18113379403,4143.95848694451,5215.59465603894,-1,3361.87059450085
1988,234.615672410534,523.010773429145,1014.11800978995,1783.95806177542,2407.19153659221,3072.52145288724,3593.02671994601,3753.56254698604,2906.19398902501,4920.28608008102,4686.94823794378,-1,2696.94933727066
1989,238.303695598752,526.457525596737,984.723443956098,1504.80506919793,2431.62948632751,3216.34333046676,4121.85677357807,4227.72058379877,4269.45932070879,4459.18373208038,5229.15704323292,5229.15704323292,4189.35742719129
1990,233.317936231319,570.380099421267,959.731562551162,1430.6120011912,1926.3364992354,2572.75165549488,4083.31848148036,4816.22600971081,4737.38540725934,-1,5254.2275710254,5254.2275710254,5254.2275710254
1991,209.178984838007,605.638730185464,1154.59544392146,1638.06134916167,2174.43769430989,2525.69715062595,2795.41797452919,4454.98677505926,5216.97916275016,-1,-1,5216.97916275016,-1
1992,188.17430429469,569.650440754958,1030.73245103494,1710.03557126933,2439.94229043038,2875.41574937234,2728.13429431862,4193.13954335247,5027.29539342726,5082.65099629368,5119.63929063485,-1,-1
1993,187.86136058427,423.378132217895,970.235489138961,1488.80777437413,2377.26591119729,2877.41680719569,3238.76015613107,3633.99320340928,3641.10068330112,5176.69625344753,5176.69625344753,4668.91942657406,-1
1994,200.634642018078,391.114802457618,791.027328017699,1397.8554541383,2180.64147222442,2245.3086538978,4108.39598621436,3487.6910544146,4043.25963565018,3556.1842988905,5188.20869017451,4189.13563630059,-1
1995,193.676025212477,515.793365675817,607.092186346402,1154.95271134448,1974.62378026952,2767.99454963301,4161.42548863926,4572.40972588455,4156.19586520152,4085.9056416805,1605.41710633047,5135.01075338532,-1
1996,211.452106983919,502.040951295896,923.132222502927,992.423289140069,1506.84274850288,2316.55977809981,3538.92458071379,4299.31436193799,3932.64096833534,3836.66946299648,3995.16871643345,3306.07113649796,-1
1997,214.612261855798,513.853698798828,915.980528669996,1196.70284644116,1444.19402259207,1936.14114692604,2659.63461840582,4109.1154183601,4041.34019443736,3847.25441603911,2604.23191262026,4042.25991881501,-1
1998,244.270066559906,498.789577695157,964.257759463877,1412.39912129101,1702.54530770096,1778.36830582528,2460.51756782903,4541.82541798617,4765.24282971197,4227.92198095896,4359.40609295657,3828.14117981113,4481.82588576566
1999,259.288939417134,538.654988498398,881.782106965428,1428.53283087335,2124.87306329644,2296.89470841397,2928.38612788823,3244.55190065857,3657.7246865222,-1,-1,2111.91169542038,-1
2000,208.195685051058,596.872755511792,975.323753180418,1436.44383758345,2181.31930461088,2260.94045011498,2723.34415405509,4130.27181552893,3491.20530125661,3897.34539416408,5107.21522036432,-1,1614.83653719425
