"Year","1","2","3","4","5","6","7","8","9","10","11","12","13"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,24376700.0853577,17833839.9494328,5297554.40387915,4030170.16768335,10128949.967339,1257064.71389878,76796.4870640401,36375.2523685982,31272.6749797656,16718.8841335238,6297.44915998498,349.910237798094,0
1997,26063453.9597981,8175925.26116259,13976288.8382371,3845495.91560793,3428071.66033636,2764554.37717347,63172.6619437138,5953.03734814903,1024.29251871437,1476.85159699322,1926.90602585877,396.400069177632,0
1998,10763897.1456343,26402141.0667393,5196972.2842376,6615077.01521415,2476037.73694858,2774658.10723775,1003196.87353414,16829.4012307137,583.796175271365,922.733582281955,314.427732606039,275.096004500194,318.33194233969
1999,34881636.8189913,8329113.2071321,21708028.6043293,4600286.42730004,5473900.70895354,154097.382723646,1949709.8522967,123625.658834133,15215.0539837901,0,0,263.283674240023,0
2000,41348230.2435313,18370969.2288357,4996983.86131464,14302374.9412628,1540775.8930921,3231873.84356057,173487.530214727,535097.115676754,599484.338051438,6241.66379088458,483.358737144206,0,325.995621661138
2001,52197669.5273367,33691508.852596,14651976.4708466,1356591.3316324,6303081.92809283,194537.687355541,678968.89215518,75869.7802232339,324644.339975345,54454.518994719,0,0,0
2002,32723263.6486859,49459520.8541247,34149394.388359,11184492.5425978,3481969.84187131,2228441.56321773,882202.931701982,54516.092029708,18722.8223434809,18223.1794412785,8678.29675883852,1645.01037928725,0
2003,30390566.7666612,69209952.7656789,49971646.7619922,21697694.4368305,4281301.32931603,2069384.69319633,715806.248888763,65681.5316978577,101290.615041555,10728.0321114792,19349.199897454,9945.24406647949,0
2004,72166801.7615944,9965649.18915786,58545171.2533073,29177712.3279903,6880314.37413917,2837652.95165835,452370.748183097,383793.251729157,5099.12546456298,2987.65908894513,1341.80439379406,0,546.242855476262
2005,63534827.7671138,36787950.019911,8366871.50731251,45547695.8055583,16570637.862289,4334205.63671008,1256565.37312937,11877.3218686871,351169.67626669,501.9009721656,646.023788026332,281.685130006582,0
2006,13273877.981354,96700618.0733231,32278013.2964062,6411874.90338153,22605623.0370983,4630991.1208919,1761913.36459016,1260728.33993689,31108.9058653566,35008.0394441484,0,0,0
2007,9236524.69921013,18666073.7253998,91903166.4300077,21694936.531638,3892935.55291484,7578935.63537536,1898666.53290333,436214.24686409,2815.86790827807,10269.8660954614,1297.46409947036,5420.10701212971,9555.14176031322
2008,19368679.4447413,12790646.6031116,26747294.6379596,75530894.808429,9002058.57853859,2503356.14714059,2446275.54821687,390812.372415925,7731.29549559502,1069.47763117628,340.117823018345,0,0
2009,36232289.9775444,12297134.1308384,7528593.71081471,18815403.5710773,40490056.6870279,5672198.08030365,532712.441241545,1485401.57113157,188118.683298376,242971.886436052,63605.0655689868,0,0
2010,10451570.3356968,37208937.0442552,8063570.56377021,4856651.33683691,12324254.609481,22361319.4551159,2713102.12122264,330077.961585642,894033.297907904,3651.42509287618,1287.82309700189,0,0
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,7151285.86169107,10554921.9465549,14840485.2988253,32664708.7290378,3277581.65066279,1628723.06583139,7098892.34173788,8486379.62804603,873701.328291643,183636.635505399,520933.674305689,349798.050304518,168.984330996049
2013,20937406.6661112,10778628.7680921,16682034.8108811,21154985.958133,28977111.1252295,3694825.14007057,1354551.01750767,5042913.2929389,4397347.35937233,549316.449834298,5570.18085141248,1180.05111545411,885.795954342949
2014,7794767.69954893,17933993.893167,8597341.31316343,12347100.8501217,15001217.62197,18708600.2425286,1882076.84627963,535158.824990065,3243619.60603225,1449283.83647972,637378.082818377,1270.62019283519,2441.60621140462
2015,14106265.2072527,11647740.8175093,22833743.1726034,9090700.50763994,14600669.8073679,9469030.12595973,10434462.5754897,1969856.54198911,643543.900144814,636650.046563155,1066702.83691247,897.68041662804,858.973340250901
2016,20633390.6172054,7399146.76304637,8672961.14792218,14358399.999514,4593309.19308314,6856740.76867667,3896262.02291431,3473420.46134435,823150.334845579,589129.455784991,870636.056447807,728506.162146683,1503.85400423485
2017,14338539.409063,48147953.2830889,7338781.12977928,12511490.0238761,12713344.4234843,3712659.57447376,4046072.12432106,2504123.37623675,853172.254438125,254047.298787236,250949.980890234,649887.87166857,442192.224669187
