"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,164.356804290589,414.677571245568,840.905863082326,1284.63321920478,1437.27301525607,2092.71837783626,3226.65822850031,4870.23213791934,4972.01381407268,5069.44925245508,4952.62999004622,5072.14765933275,3364.06817878641,-1
1997,202.909615521591,382.243099934949,859.306632217465,1280.19424656387,1812.20805836802,2527.30102864542,2765.24487072252,3305.30021351048,3586.49839005269,3939.5254450514,3992.89750973104,2614.22702520848,4116.63169308449,-1
1998,226.867679468403,543.600448447445,760.617846931672,1172.49555868471,1948.39322925942,2411.05206554979,2797.14419796712,3888.59586261628,3344.34186708535,4212.99436864993,3467.73649409327,3453.91067653879,3764.97197702797,3825.33419738073
1999,191.551158636916,490.424477345795,867.736308582353,1223.950845119,1954.6562513111,2791.24822588144,3196.8267598722,3592.44213948977,4174.28975830177,4355.75321166168,-1,-1,2087.52496806616,-1
2000,169.557941582696,439.836007173275,871.979517020112,1376.87158863922,1724.49725134395,1952.04079086682,3459.83702108593,3898.42674536811,2410.98001722486,4799.17495518524,4187.2191241231,4974.22972854991,-1,1627.99436516461
2001,170.450885349316,433.888514956311,860.380355749007,1385.75367956767,2173.82192947633,2439.59201022885,4056.73661002054,3209.46035315752,4688.50254194349,4307.85665001754,4821.17216162552,-1,-1,-1
2002,210.437887979518,371.697137121425,808.09435218731,1311.21456142608,2077.15593743842,3454.72470448479,2829.03897567658,5059.36376806977,3847.06486655134,4224.17120964447,4497.60213208155,4348.74176919563,5163.77858556592,-1
2003,177.699023557252,498.302038704227,736.324053820943,1234.9722883354,1680.46402688497,2618.66500307343,3379.91376771361,3623.97584758791,4671.16207397913,4832.6843958514,4769.50815257671,4906.63033973371,4872.07028111543,-1
2004,166.084658101614,444.720323082601,849.10596245148,1151.92111545987,1832.77563597607,2313.58431393723,2962.78958930543,3372.65013792204,4030.12590928536,4234.81944731291,3549.81530952833,3754.71915649006,-1,5021.8490116173
2005,163.272790593486,347.587800618282,743.733103666756,1175.96163006643,1491.70625154253,2171.30029064083,2706.11084643734,3401.10035985569,3915.69882790153,5256.8640635468,4638.17487679745,4767.22290154617,4043.37527952812,-1
2006,156.101787626155,246.569985207434,584.926671760958,1061.02859183555,1692.75925864027,1973.83170764074,2425.55916245863,3002.22475135274,4246.81629028777,4686.25309560664,4682.82586249698,-1,-1,-1
2007,175.289971892403,350.691672243917,512.117021954963,872.761533846154,1361.32228918859,2440.72474157139,2394.2270546735,2443.95438098839,3347.14125278345,3059.62473556376,4677.13327516962,2734.34783556935,4642.50202312966,4809.0001566417
2008,155.477320193554,381.232455571325,657.390987201028,822.539313599986,1107.542339505,1751.33205222724,2690.13238831994,3223.27911176489,4246.19765332357,2721.0862833626,3180.2385880626,2957.5791885733,-1,-1
2009,170.594859727688,378.272881688517,781.230352198714,1181.97455590214,1108.50344863004,1486.16036045003,2033.72891847525,1687.56518847575,2999.54377406893,1542.71448699703,3492.40839091948,5191.00842385946,-1,-1
2010,158.945655809139,402.593219471729,743.948884696448,1110.16276672649,1381.01203306336,1494.22982519464,2063.32330879831,2000.99897457124,2806.07022164795,4152.90522984128,3142.61458720812,3681.02618560417,-1,-1
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,182.792010508877,496.636757417197,848.901054695743,1182.43369921189,1583.52199361627,1904.80749107777,2614.41412399938,2671.94198540327,3211.29737717776,3680.15705782435,4120.04656935005,3881.52200720048,4043.4255146357,5019.74660610397
2013,209.563674513583,444.155226487983,890.787356451797,1306.95886865254,1725.45620417718,2252.13081032363,2724.49997723454,3175.92681949804,3488.65190830848,3849.79135740439,2970.23377904198,3607.85935407175,2186.09436813041,3304.08280404436
2014,194.174639693643,492.547557699608,884.215720799793,1387.81326626559,1711.62469951324,2327.59131239641,2885.47747186986,3226.89934287745,2956.43670390309,4304.7696531932,4135.17831844503,4863.29617038322,3115.75550662194,3681.41172338178
2015,173.755608356642,578.65110249647,970.804231318424,1306.89644902267,1849.68714886478,2285.14045503199,3208.52540359232,3233.15979034314,4262.20121318099,3646.00269432956,3924.69041592632,4187.85319330262,3944.54044133167,3382.82117358332
2016,157.949522646195,415.328649108251,1071.73797867106,1710.346777553,2006.5304126307,2372.12421757092,2883.77790283416,3558.81006743341,3887.73046789958,3500.61679043855,4231.40709449276,4522.69409203479,3890.60487893642,3431.96985859219
2017,174.914126344676,391.43543161086,811.895149034691,1855.10376983345,2125.13757913762,2647.3304425903,3404.21441197877,3488.14749396071,3990.37599646881,3927.03631378939,5139.31886668093,3342.60123804574,3378.49307637881,4719.91554385601
