"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,0,0.0185873605947955,0.147783251231527,0.466666666666667,0.454819277108434,0.704918032786885,0.675438596491228,0.932203389830508,0.91304347826087,0.952380952380952,1,0.8,0.8,-1
1986,0,0.0145985401459854,0.181556195965418,0.361581920903955,0.591111111111111,0.714285714285714,0.909090909090909,0.9296875,0.970588235294118,0.992857142857143,1,0.8,1,1
1987,0,0.0191570881226054,0.144385026737968,0.39193083573487,0.591463414634146,0.783333333333333,0.817351598173516,1,0.982142857142857,0.95,0.962962962962963,1,1,1
1988,0,0.016304347826087,0.201238390092879,0.390776699029126,0.644776119402985,0.761904761904762,0.883928571428571,0.877049180327869,1,0.956521739130435,1,0.945945945945946,1,1
1989,0,0.0241935483870968,0.147058823529412,0.42512077294686,0.638805970149254,0.792452830188679,1,1,1,1,1,1,1,1
1990,0,0.0704845814977974,0.236842105263158,0.50187265917603,0.741935483870968,0.812080536912752,0.894736842105263,0.777777777777778,1,1,-1,-1,1,1
1991,0,0.0297397769516729,0.115702479338843,0.36,0.603351955307262,0.751633986928105,0.855263157894737,0.333333333333333,1,1,1,1,1,-1
1992,0,0.0275423728813559,0.140726933830382,0.271084337349397,0.657657657657658,0.864583333333333,0.857142857142857,0.818181818181818,1,1,1,-1,-1,-1
1993,0,0.0691823899371069,0.19187675070028,0.315923566878981,0.5234375,0.8,0.916666666666667,0.862745098039216,0.833333333333333,0.833333333333333,-1,-1,-1,-1
1994,0.0829875518672199,0.201986754966887,0.26530612244898,0.495290423861852,0.712121212121212,0.8125,1,0.928571428571428,1,1,1,-1,-1,-1
1995,0,0.0892193308550186,0.24,0.21969696969697,0.603211009174312,0.727272727272727,0.714285714285714,0.714285714285714,1,1,-1,-1,-1,-1
1996,0,0.0859106529209622,0.169267707082833,0.35207100591716,0.478599221789883,0.677642980935875,0.723684210526316,0.714285714285714,0.5,1,1,-1,1,1
1997,0.0416666666666667,0.0800681431005111,0.328231292517007,0.441347270615563,0.564593301435407,0.690217391304348,0.76241134751773,0.896551724137931,1,1,1,1,1,-1
1998,0,0.0211864406779661,0.334710743801653,0.543933054393305,0.706,0.704918032786885,0.836734693877551,0.888059701492537,1,1,-1,-1,-1,-1
1999,0,0.0466321243523316,0.232954545454545,0.49380014587892,0.601769911504425,0.724137931034483,0.888888888888889,0.772727272727273,0.91304347826087,1,1,-1,-1,-1
2000,0,0.0736842105263158,0.204918032786885,0.536458333333333,0.754325259515571,0.84,0.872340425531915,1,0.833333333333333,0.944444444444444,1,1,-1,-1
2001,0.0454545454545455,0.070859872611465,0.28788881535407,0.472813238770686,0.721518987341772,0.869346733668342,0.88235294117647,0.818181818181818,0.818181818181818,1,1,-1,-1,-1
2002,0,0.0489731437598736,0.231693989071038,0.579799537393986,0.794520547945205,0.928571428571428,0.9375,1,1,1,1,1,-1,-1
2003,0.09375,0.0395256916996047,0.200827205882353,0.512099043331458,0.776967930029154,0.866071428571428,0.888888888888889,0.956521739130435,1,1,1,1,1,1
2004,0,0.0308832612723904,0.289198606271777,0.499730167296276,0.804761904761905,0.90983606557377,1,1,1,1,1,1,1,-1
2005,0,0.0145305514157973,0.148568341437061,0.51304347826087,0.731746031746032,0.91409691629956,0.940677966101695,0.96,1,1,1,1,-1,-1
2006,0,0.0284900284900285,0.0846827714361561,0.339987523393637,0.567708333333333,0.724962630792227,0.921686746987952,1,1,1,1,-1,-1,-1
2007,0,0.0549019607843137,0.151937984496124,0.362169312169312,0.646924829157175,0.746835443037975,0.888412017167382,0.96078431372549,1,1,1,-1,-1,-1
2008,0,0.0252525252525253,0.195612431444241,0.37966537966538,0.585984848484848,0.822335025380711,0.886792452830189,0.909090909090909,0.964285714285714,1,1,1,1,-1
2009,0,0.0119047619047619,0.206225680933852,0.370600414078675,0.540677966101695,0.824966974900925,0.875621890547264,1,0.964285714285714,1,1,1,-1,-1
2010,0.105263157894737,0.0309278350515464,0.144528964306612,0.574152542372881,0.743670886075949,0.783549783549783,0.879377431906615,0.933333333333333,1,0.956521739130435,1,1,1,-1
2011,0,0.0373831775700935,0.169811320754717,0.387947269303202,0.77741935483871,0.798701298701299,0.837931034482759,0.897872340425532,0.977272727272727,1,1,1,1,-1
2012,0,0.0710659898477157,0.170093457943925,0.454379562043796,0.629043853342919,0.828767123287671,0.910112359550562,0.865853658536585,0.91743119266055,1,0.888888888888889,1,1,1
2013,0,0.0466200466200466,0.21760391198044,0.368320610687023,0.690777576853526,0.767527675276753,0.914728682170543,0.984615384615385,0.973913043478261,0.992424242424242,0.944444444444444,1,1,1
2014,0,0.0823529411764706,0.175757575757576,0.38716814159292,0.56745182012848,0.683760683760684,0.76063829787234,0.936170212765957,0.914285714285714,0.9,1,1,1,1
2015,0,0.12987012987013,0.262962962962963,0.4230330672748,0.645251396648045,0.787878787878788,0.785467128027682,0.902777777777778,1,0.875,1,1,1,1
2017,0,0.0774748923959828,0.127402526084569,0.575682382133995,0.658415841584158,0.752066115702479,0.917808219178082,0.945454545454545,1,0.977272727272727,1,0.833333333333333,1,1
2018,0,0.0311986863711002,0.20020325203252,0.349464867380177,0.72972972972973,0.795238095238095,0.866310160427807,0.830508474576271,0.966666666666667,1,1,1,1,1
