"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,6348.45625749349,32606.5519314677,19185.0652443452,10555.4703079569,4597.62872535599,0.0806688965331844,0.0899292566973719,0,0,0,0,0,0,0
1986,24708.5748139625,111892.312500411,52638.0429707847,10635.4159972619,804.565485230598,0.286814401521014,0,0.462713504830403,0,0,0,0,0,0
1987,3579.94256711899,348939.215198185,129272.297390345,21653.3509669082,1719.81679330787,0.144445789088029,0,0,0,0,0,0,0,0
1988,4857.37009815687,56327.7330995673,184880.94517398,77905.9585395825,1314.65655946179,0.237721509780302,1.05911338210778,0,0,0,0,0,0,0
1989,383.982891679642,26506.3772828995,46716.7466582616,99530.1779721815,14443.4558802188,0.723744569937582,0.217265199081035,0,0,0,0,0,0,0
1990,5500.36004922401,36832.2767204169,34801.0046947701,34440.9037359589,19460.3414153591,1916.99517042437,0.484980909413443,0.208406342595804,0,0,0,0,0,0
1991,10016.2857196006,137479.252857668,40124.6911399945,12308.7673600188,1976.42039174379,944.513622444305,3.2965484066065,0.355925037732002,0,0,0,0,0,0
1992,1260.14322910521,204316.22791358,122825.438315607,33344.8625525422,755.822596759156,12.590364540056,109.560623327512,0.396730280212916,0,0,0,0,0,0
1993,2386.3644978122,41005.90453184,230726.23038395,63005.6607363728,3220.39022004663,115.907589287222,114.244050766617,0.839507137557861,0.224748936723094,0,0,0,0,0
1994,5611.90991174077,47258.4461108381,43130.8844950008,138527.706707792,11810.3671225282,5.81146125491427,2.07524838615573,1.05044811313611,2.21617711685002,0.187883673364662,0,0,0,0
1995,8763.8477931185,70526.8622607836,35879.3214664831,29215.8720774897,36701.6665832401,943.278380455114,0.502834835788081,0.12570870894702,0.410452171884039,0,0,0,0,0
1996,18504.3669861623,53320.8854266852,77563.1348911757,13096.0240289392,12356.0843953352,8372.5217167235,88.7978127671804,0.0434116472027642,0,0,0,0,0,0
1997,8082.76272304343,86011.0013124244,30644.237143691,27537.5769134858,3798.98568344831,2692.7218550372,307.655486771884,0.472307169231242,0,0,0,0,0,0
1998,5214.03104530502,27651.7735535084,74065.2753071474,10467.82236558,4147.69829632399,569.667909532603,425.532813580922,99.385431015257,0,0,0,0,0,0
1999,6811.99252118529,65733.0056283531,27886.4232416905,46308.5978854754,2112.5229143306,135.984146847074,0.970026670687222,41.2237233833866,0.224798534479711,0.0403887898220779,0,0,0,0
2000,3784.6340961843,61790.9299561301,36844.4259321523,4984.60310005439,3673.41745117483,75.2936753100804,35.9314894960524,0.102769500778914,0.0338139621568501,0.170032302976459,0,0,0,0
2001,10019.4608845044,101997.718993237,75887.3350582505,13386.5355118341,914.201594381394,463.295560439579,3.06725757320944,0.821472748096375,0,0,0,0,0,0
2002,7769.85181832788,189244.573200023,143130.63370178,53588.6894723767,5563.46547299732,84.3187491797649,11.9868904889412,0.353668049907186,0.161090069720649,0,0,0,0,0
2003,24566.3029556114,54061.1110026624,238434.19726734,110527.385829789,8960.75779281048,408.716207563929,73.0326259165405,203.222953418161,0.456715728410713,0,0,0,0,0
2004,52518.3350725057,197592.146130421,41704.3618432686,139304.194435148,20366.9921015362,1187.17744595408,0.891761995554213,0.151760718375967,0,0.0858767050508796,0,0,0,0
2005,1800.24444198588,493811.498311211,185396.478292964,20921.2136490668,52355.798432639,3530.28664106017,175.69235132158,0.154105746354324,0,0,0,0,0,0
2006,459.712617028217,47172.8722386171,410381.555085915,105345.770396737,6442.00916380084,7352.39984715221,683.498479037221,55.5066628305077,0,0.0535649865081012,0,0,0,0
2007,11194.0870627403,24127.2107866216,65607.0047499989,260643.472778811,35246.5466933171,1333.16261212879,909.494981906459,2.65278049825519,64.6447283451034,0,0.0635011021480246,0,0,0
2008,2585.05708027064,42148.6365735964,36046.3139226586,55574.4596256136,125296.780624626,7743.45178078713,201.276111048664,150.885147037639,0.373622331369768,0.0493162612768725,0,0,0,0
2009,211.271112379749,76116.9911316874,35476.7360310278,23330.4865995505,27051.6185230306,34138.6738851962,1468.83106795633,83.9531248842771,84.1753632355947,0.0413544727087839,0,0,0,0
2010,685.811223003849,16669.904165749,94380.8672888172,14476.18203967,5972.04622616526,10139.5696181544,4942.37269604901,133.473358791268,32.8202045972288,32.7555342433427,0,0,0,0
2011,728.694105952182,23379.952857229,25178.9835800293,77276.7876025842,3080.40271629953,1116.49979541651,1337.39653045526,1108.55192073257,38.4001057474137,0.106546871892717,0,0,0,0
2012,893.274233515261,9529.38369859549,22634.1629920601,19786.022215436,23915.0096786988,749.374252021956,105.548428379127,216.014408889522,125.638837381611,0.0616365292848935,31.1572655535137,0,0,0
2013,1270.73985180114,19996.612854383,16021.9263307234,16200.8327249101,8468.02110608528,3189.18529045211,247.096649171943,61.6184912828624,27.206228596546,0.237872373601101,0.0301587586417092,0,0,0
2014,2784.06725544389,14274.8634132696,21991.9370418149,9085.44457066378,4133.56416632476,905.509815890482,175.714942317749,0.233081279777944,0.128863182557987,0,0.0795730118819266,0,0,0
2015,5788.95746643519,11345.2371330268,16058.5347970403,18422.9603420294,1620.65918099523,661.959077174263,107.093136254126,0.128885439450982,0.0462218276756043,0,0.0231109138378022,0,0,0
2016,706.650739389787,90780.6952265229,14500.4040649409,10112.9168707159,3467.14744620562,335.950717630862,202.947387120784,0,0.100443171797374,0,0,0,0,0
2017,3306.30022188285,35654.7766546896,103052.779606978,4464.23115788403,2232.85939290681,589.074794936095,85.051897453449,0.0420424604317593,0,0,0,0,0,0
2018,4706.47941433886,48682.2874965164,48285.3865604547,77221.9568439,307.213544607897,86.0789854201571,28.6917990508419,0.0283235923502882,0,0,0,0,0,0
