"Year","1","2","3","4","5","6","7","8","9","10","11","12","13"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,33538.8335596432,18685.0982757455,18862.2119284211,26287.4174752341,2144.2863687337,8462.23562160306,1855.09289729366,11286.0949042117,288.209718334102,348.104291512528,65.6936652298292,0,0
1986,107539.519656734,53077.983806892,19434.0823590856,7945.92401479793,13925.3313958937,583.142078253399,3163.95219014916,895.689203051204,3616.24409457291,73.3087674757486,0.53499401502849,0.250094888618701,0
1987,325564.224822566,127147.901841617,39173.7902861987,12329.2973599078,4841.89072751806,4507.25951844314,159.714854603067,747.64470016304,313.836102538873,632.922824637723,30.8620441913915,0,0.0444655368838767
1988,64349.8071346428,191668.461189988,88372.5746866362,21100.8412764939,2773.67068770928,2125.63082514787,2173.94778429619,96.0347143997421,199.309795163096,0.551618766838149,376.20580123591,0,0.0787294626904953
1989,27953.2142041975,49509.155030191,116336.772989439,49653.518469551,8912.72122229819,1672.1514496091,192.09407383151,56.7132912615662,30.5010063868602,11.2505224534035,1.59136240055206,403.012527939808,6.85458693476771
1990,35112.9090189337,37100.7539693587,38121.0519681366,57853.2942835686,39961.6132514254,3570.88712482642,17.9544247498043,6.18014823113799,1.32232213184542,0,0.352899261008747,357.134052140852,0.352899261008747
1991,132119.108195073,41332.3179973828,17911.3204467662,14251.5214019492,25728.4111470481,5549.25035323867,166.030468718944,2.77269258322066,1.4268970344555,0,0,0.713448517227748,0
1992,190888.945704839,125018.168034706,40396.4639240602,9939.65225495315,9042.08042035944,8000.64447699843,2607.03796556553,213.130956070606,7.65930328044682,5.07876328830339,2.44784460890053,0,0
1993,32700.8641070562,235838.870396642,75357.0626426004,13319.7748736984,1935.53625621328,1993.70206865714,2017.07480722124,508.472027304807,0.753620596298945,0.127122299332924,0.127122299332924,0.241099288034006,0
1994,47383.7619973344,47190.3654529741,143217.295336479,33204.2256106548,4787.14707682172,613.952456201892,718.347408466803,884.129181500339,40.058692992126,0.973880066754437,0.24977334201674,2.99443590113403,0
1995,67279.8100797376,33852.9785532228,30608.9492247318,59466.6130298934,8887.51348899311,532.453844305263,68.9203399861772,67.5529065365574,81.5293241147323,14.247528963143,0.224319000637149,2.25724574815086,0
1996,51425.7993697619,77985.0941974391,16482.7175326772,14871.8685710484,27853.1162963031,3733.49962026978,301.748066423369,259.036692475415,2.93694025948984,1.90444099475589,0.518365869035144,0.107412521059988,0
1997,87874.51757091,30657.3526879839,30194.0336987988,6159.39970089898,7078.48972303189,9054.38248619814,567.008825409605,214.703686577922,68.6035913778302,0.281004029842833,0.513657837529122,0.0676448509392705,0
1998,28687.6902265852,74676.5020587044,11427.0490302506,11434.8750226814,2858.29184120615,3444.61184221023,3250.24712757598,302.897601897401,0.395813388850391,0.485342874632536,0.211956474761556,0.0635047142069563,0.210106747509396
1999,66447.331336895,26098.3323733944,50726.7482990586,5554.34174671288,5599.34811805282,908.12243142805,1666.68386503064,533.549344309643,1.58473979107309,0,0,0.0560286151001688,0
2000,59582.6140560041,36369.0636759866,5997.8413602762,11695.2875439167,1021.65659894902,763.746478649736,513.29686425797,123.721841220822,602.659894817177,0.30169269791039,0.0355547690627604,0,0.0440707025017021
