"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,171.234850611298,274.562893672094,639.268274999553,1225.07649304484,1711.51598956163,2471.99120711226,2783.86030804863,3384.52552662295,3366.12313070155,3939.35195949209,4186.61413749572,4150.92141685078,-1,-1
1986,169.774378315585,270.254497405821,704.10716138512,1278.70607437279,1951.06124004286,2430.3817489303,3358.0725492667,3467.76120958983,3951.92871475728,3974.5203383225,3970.06611171973,5174.11802769287,4092.39851848679,-1
1987,-1,199.321579098424,557.293472708698,1241.18963095432,1762.22268747014,2623.93277455964,3075.4785287173,3851.90021680169,4005.32563885181,4130.14158914925,3669.80061149727,5215.59465603894,-1,3361.87059450085
1988,162.030604169265,224.179307171585,514.194757420381,1040.96338912098,1852.65375154228,2640.11507628276,3201.38483249033,3514.52225168479,3686.89658678723,3881.06921971223,5175.6457995348,4695.04320077898,-1,-1
1989,-1,221.475072624166,489.867557726076,935.07373268111,1535.72385798726,2438.24792368245,3203.02200681497,3561.57001479747,3443.82680015397,4125.28885738383,3346.32478092864,-1,5229.15704323292,-1
1990,-1,220.846667397921,521.474530685623,901.522845012527,1315.1703508323,1979.83386226836,2818.56806827013,3154.21238247002,3313.96613742759,-1,-1,-1,5254.2275710254,-1
1991,-1,206.727498970395,567.552278189693,1107.09972164279,1556.04786747946,2021.93116286134,2587.36242000495,3321.12109740676,5216.97916275015,5216.97916275015,-1,-1,-1,-1
1992,152.41972582094,186.181698170121,556.325881911882,984.669682631146,1541.9225196714,2170.2834127967,2517.48617640385,2980.51593363865,4093.52570239453,-1,-1,-1,-1,-1
1993,-1,186.79315786553,420.442963983836,944.772559164416,1522.66215262294,1932.4889012807,2764.85512776352,2785.89772950885,3437.67199398277,-1,-1,-1,-1,-1
1994,-1,204.696744015866,431.840979313446,757.804458542365,1333.54267238986,1869.2704483711,1919.98114753451,2635.66185410552,2186.16028785543,1392.36119031572,-1,-1,-1,-1
1995,154.136727719641,193.031990729209,504.934232578058,683.933285857359,1136.24441445827,1967.86058236734,2758.25352181959,5274.52493525252,1210.62406149873,-1,-1,-1,-1,-1
1996,-1,205.035699458402,487.114673518151,886.071670374504,1062.14003893001,1496.35703928893,2305.0031813234,3115.25693327121,4641.31438556466,2668.54136235417,-1,-1,3305.20099992032,-1
1997,164.133481018879,205.945066431887,461.13977108023,884.197284512678,1260.99866592414,1486.74878775089,1968.69178025903,2540.13690077169,3945.72200210896,4043.74759758799,4043.74759758799,2112.38130094183,-1,-1
1998,167.809296645737,236.054301894731,445.708528787325,813.823077603311,1322.30131353836,1729.91584727303,1981.11897558434,2413.9384042004,3653.03708034461,-1,-1,-1,-1,-1
1999,164.568452553589,243.901839819459,523.123514674245,779.742939114731,1293.93700597353,2031.72924358186,2458.88518136221,2845.33475557263,3069.42324956031,3260.72004002047,-1,-1,-1,-1
2000,-1,207.359588062586,586.785608468487,931.513790976124,1224.04236458885,1827.83566285971,2571.68330874476,2945.3897021401,3201.52425327229,3443.71967384654,5103.94017375145,-1,-1,-1
2001,228.788809303965,208.119101359633,528.040458627856,1094.02919742865,1449.43326684546,1587.91764114169,2171.09651649503,3011.25721540185,-1,4225.8946315948,-1,-1,-1,-1
2002,-1,202.4812701168,513.719505484866,934.512789646635,1505.51727550266,1968.01416061453,2019.3508332849,2601.96016432441,3585.64868766691,4828.98451851202,4389.4427002496,-1,-1,-1
2003,623.429936327765,260.306707506517,466.543110102726,896.635719359533,1372.67952125462,1995.61444045343,2719.15507368461,2447.82085888596,4100.00331835366,4549.44308808797,2626.11556178412,-1,4016.1090672207,-1
2004,161.685642175818,207.646997483389,586.328008131636,857.138410172657,1358.98449147711,1785.05655886974,2692.02451775304,2771.14080376779,2979.29238377276,-1,1608.85652595901,3344.02580723613,-1,-1
2005,154.75929021442,182.676750287451,487.663792762748,953.118801668432,1238.43674664259,1652.5224516892,2211.42609942289,2940.34749478518,2664.72078267292,3571.58482674,4852.84896961416,-1,-1,-1
2006,-1,178.035033503105,367.077038045217,797.095362285102,1187.97632091892,1590.1352471623,2084.20445392621,2370.48709024715,3424.9625046656,3121.36909571866,-1,-1,-1,-1
2007,166.412967215043,196.763751652482,350.073685008426,653.173484953859,1121.58754372149,1572.21668639603,1912.75731721578,2260.07264854375,2256.92799853657,4067.45952543634,-1,-1,-1,-1
2008,-1,208.236232598654,416.657647892512,618.595791629989,916.286255352829,1328.24148554084,1884.70449791623,2310.25391186653,2668.56915178296,2796.75674541652,-1,-1,-1,-1
2009,-1,170.371583183738,464.802955081402,728.398836525951,902.224371870477,1198.43300575648,1590.81789445919,1966.22261861102,2672.18969489168,2478.2950063126,4113.36288606997,-1,-1,-1
2010,275.496861932139,183.703149950511,422.727508964255,820.840452250231,975.932576606311,1212.60731652989,1534.60930152684,1869.40011459095,2462.49875165144,2731.75482570481,2667.37894587214,3400.66289305685,-1,-1
2011,160.393403019385,198.369907219444,481.136617969495,805.444229647428,1193.20702742813,1408.87354913553,1659.4933239616,1923.98093945131,2211.95230282815,2970.40974801417,2560.89303523305,4201.05659383556,-1,-1
2012,-1,221.020049813145,516.417769282566,844.238040735618,1196.17306473745,1574.72991971327,1937.65974657421,2138.97509839729,2341.03191413067,2340.60384625749,2674.67655009713,3321.48698519043,3009.67211749113,-1
2013,-1,231.490917545622,615.852825947882,985.282094409054,1312.59289736448,1725.68420017631,2027.90671577406,2268.28531586754,2825.30576112369,2711.45363406625,2714.61520586699,3072.55763941736,2104.01794810644,3347.90093189161
2014,-1,254.922952926809,618.481216427486,1060.35929662961,1450.54169674101,1808.55667303252,2238.04575190248,2464.08086893337,2803.60666355037,3212.50443582292,3163.80645933462,3570.81616541268,3327.3311521826,4119.23199600241
2015,-1,280.569599089272,671.098426727076,1122.63646552826,1648.98757024528,1994.46852879919,2523.3932961323,2879.73785351754,3257.01456025899,3240.9527053794,3678.38478218021,3346.20779357713,-1,4107.76936267067
2016,-1,197.683927987144,679.987430449245,1152.61635806021,1622.99647105374,2144.85592765419,2377.42580270557,3143.72805098257,3528.64693949348,3288.88159660668,3113.94806955872,4048.42978230531,3625.16531246585,3342.87622972286
2017,-1,237.143086961627,501.283817752512,1301.56126065739,1712.34601712395,2240.54671277991,2833.55167241205,3250.52297514006,3714.72470429767,3577.94964501526,4132.38392047028,3812.49488753423,4705.08389246523,4133.27171761615
2018,-1,220.265052668757,548.098727383149,968.637500633446,1900.35125665031,2440.99687035094,2703.49032274845,3019.55133826845,3168.16123036169,3711.5318320325,3895.98942171126,3361.56634210607,3964.80359868971,3376.44770258068
