"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,817.034918709227,1124.88198893605,817.199395165116,1209.22151061965,1698.3330559418,1950.64905477555,1984.00986328057,2789.45095170647,2735.042371775,2846.86508778283,3908.47736578929,3506.3545045354,4742.83779141867,5643.58900044327,3995.08408733781,-1,5643.58900044327,-1
1983,-1,-1,-1,-1,-1,-1,1213.9425281808,1444.51082846237,1756.62375927715,1795.31778295553,2171.65564499351,2678.85674533956,2418.10192058293,3186.5512023874,3193.55330044444,3888.59284582861,3819.63879939209,4420.98949028307,5880.29428305543,6734.7072711776,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,984.76562757437,1207.26465849939,1466.41870845189,1646.5398150971,1872.98467747618,2179.71972898985,2418.62617265368,3037.14785546415,3538.82252749585,4385.78602767448,-1,2282.97099976587,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,21.1001010608909,55.2906671216251,135.528307550142,283.247890570245,422.19207936205,613.162417513322,855.3359205002,1659.17817194887,2243.07705301508,2530.07592386399,2634.43767829242,1958.87413317659,2806.11583688191,3423.51729911934,1581.27546506677,3150.37528653224,4831.51013501628,4963.91264632792,5591.95091266505,-1,6642.76167323629,-1
1990,4087.24709507529,-1,-1,25.1639049669613,46.5931438607437,143.776882257042,632.10122589747,806.060230135834,1086.32444945301,1847.62777097317,1848.04757140219,1819.71903505732,2265.87662372941,2188.3165416328,2139.67842960189,2421.631547619,-1,2293.89393491888,4598.08952522359,4865.08261291534,4889.55157294049,-1,-1
1991,-1,21.0547171805223,51.1784201512131,105.966724586109,178.830561087484,287.454898816339,509.638919335058,-1,844.636323390631,1232.11212164751,1420.85172478167,1680.97239737511,2176.9646725054,2546.4812352678,3006.36289646245,3594.66023943457,3856.41359807417,4584.36861200847,5947.19479744105,8580.68854957897,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1997,-1,-1,-1,-1,191.378362234592,271.85533624322,463.103729065462,-1,1244.01854740195,1048.53605799949,1472.38439485402,1653.32549694129,2138.58000279874,2375.67333877662,2908.46681659558,4146.46218788578,5733.62690480978,6774.25742559205,8065.95748574007,-1,-1,-1,-1
1998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1999,-1,-1,-1,685.842120855557,699.528401512568,953.240670215968,1008.74712050414,1203.48486405551,1479.15204992176,1712.25787337413,1885.31331156346,2064.4565287902,2306.15482130695,2504.58309878064,2804.71617868052,3519.35453425415,4385.1737884302,4330.03682347475,2356.17662766713,3173.96624571033,-1,-1,-1
2000,-1,-1,-1,-1,935.825966818849,1028.42515965734,1132.86909709373,1254.33074020246,1517.37920536658,1934.95232908624,2119.92740367857,2266.69198432928,2524.05726980766,2837.08196887994,3324.1566520325,3844.95620721743,3589.19908776907,3523.82491235442,3817.76874629451,5264.49889972128,5684.96447628604,6651.92582753138,-1
2001,-1,-1,-1,-1,901.896952011521,1074.80796568023,1176.38295240853,1354.95892733572,1698.96700306574,1924.84179228327,2227.69740749102,2407.90866654388,2558.49368473698,2686.53605266728,3112.26364379735,3526.10296169245,2720.48705360266,3188.07651434037,3097.81527452274,7241.9845936124,3657.43901437431,4097.60196365917,-1
2002,-1,-1,-1,-1,654.138173271049,861.048626700542,1318.04995294242,1570.50740099593,1739.45901171788,2109.80801953443,2302.80237728464,2471.51169903791,2760.38224006702,2944.21522467031,3114.53009374726,2765.0717516099,2689.28724203453,2811.97843893497,3227.92103374438,4757.97486844707,6201.92980278014,6681.83267615009,-1
2003,-1,-1,-1,-1,609.991298318386,970.963871001877,1207.26717676455,1597.05860227532,1687.20039047283,2002.76985769675,2213.79430324164,2364.94722622997,2646.78951856979,2829.41082846558,3157.46171959795,3052.03394341565,3677.49473198105,3457.41287850084,3713.83128625127,3073.55647940587,3131.34774084555,4535.2093967391,3542.38424277445
2004,-1,-1,-1,510.913551075073,1100.66005508285,1318.09544393412,1385.7235021151,1543.17769405971,1838.86988996193,2065.00800308483,2270.79930646213,2584.24411239785,2671.48285134596,3011.02282413245,3161.80542556381,3040.39408374512,4187.17675734914,3643.56231235678,4526.40310130121,3461.68386840677,6127.6863542975,-1,3348.18239624866
2005,-1,-1,-1,-1,906.588775226661,981.208754736014,1558.77792940372,1732.95015052835,1993.61587665326,2246.74829084098,2575.15405873142,2625.5722971794,3024.82034675874,3264.16642839915,3265.73714052441,3291.89912192791,3317.32780836511,3480.23417560376,3878.57785474657,4141.43263823498,4092.31009614148,5698.2961336211,5698.2961336211
2006,-1,-1,-1,-1,584.815830155561,994.994490778654,1210.10729671247,1576.48042547352,1774.54309003779,1962.69091064943,2212.01696090603,2433.12994955259,2561.59075479047,2888.98804389216,3142.18756434511,3403.37245717224,3412.31646646257,4159.19225971437,3543.57189550564,4047.03505360029,3609.18782840122,3425.27307291643,-1
2007,-1,-1,-1,631.369143635316,660.89042623296,1031.66066661993,1397.53350569796,1597.69504047067,1934.58588983492,2083.28079151014,2327.59509646962,2460.79279689829,2790.26169938864,2951.93219015115,3308.85805049243,3130.18287053537,3723.10929036458,3801.49993479995,4132.19759612747,4268.22967511033,2986.19871569031,2302.84681367392,6149.97653216866
2008,-1,-1,-1,44.7013696942923,233.133665987322,409.511494805903,1086.41564304939,1762.7618682382,1950.55119761646,2371.4689245674,2474.31895107403,2688.53984923095,2697.94294448211,2995.81419325783,3175.45249558693,3393.72430972286,3404.66142173914,4459.52326125238,3357.91141262502,3604.65831205613,3038.59507583357,2924.86377021189,4091.77701027763
2009,-1,-1,-1,-1,710.132061629008,958.494388723474,1101.04789406496,1613.80689176399,1855.44465210309,2186.32651050369,2360.88004520559,2693.28713895248,2795.49636445723,2937.90156330095,3031.39646328445,3195.83076008468,2977.66601134914,3797.67997151729,3768.73116270458,3898.93425987697,3326.92660255306,3621.26050585409,5275.73004140046
2010,-1,-1,-1,639.221270246501,1244.89012704142,1311.42875216405,1388.91184896904,1571.9824679282,1896.54425648497,2163.06800967828,2379.56073705575,2573.48791168913,2713.21351310722,2909.35319771367,2929.39767341108,3405.46595870257,3525.90915165648,3728.16702842352,3803.45534767762,4407.66718809535,3593.37500720261,5593.15672192849,3486.9391419669
2011,-1,-1,-1,303.835692338765,575.243060770479,1099.70351468041,1542.44161308795,1800.48070205238,1983.12333362046,2225.30481818607,2492.45179960224,2783.76787250988,2968.6063943097,3269.31405312526,3380.94411726276,3840.05430498968,3854.28162760019,4259.16144138096,4387.94399765504,4930.51182491152,4299.10076519537,5504.41759366326,-1
2012,88.4257746435932,188.26842729736,293.780839199698,305.304665613563,1036.34295412201,964.332017141186,1375.95712148586,1700.87065753183,1902.78994749399,2117.9922925771,2367.23962885305,2580.54898064816,2927.75844447753,2971.90742207551,3255.24586371506,3369.77312465335,3793.1924407197,4042.88134166815,4331.85318200885,3947.83789407945,4258.39738694304,4211.62671780593,3950.15421391823
