"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,1.37948957089827,21.3346623433315,70.2713117881424,192.026035070173,425.263565616897,734.713547272684,1106.90189672161,2759.02864379569,2421.16599417718,5077.92594896154,3773.43117556768,7612.91337803909,6317.78946466333,3937.54193371424,4551.71660951654,3060.25693331918,1398.65981112324,1320.08299243706,525.751543919679,752.143206470727,0,0,0
1986,1.22511877820499,36.9161936526021,159.548794172929,239.226128826598,591.815176025944,856.732251300688,1271.9919129897,2185.96717484321,2462.60883500384,4290.64134404353,4664.7626735609,6597.8343321661,5780.15370203176,3559.41483146604,2870.20242823245,1996.35696186342,1057.63202610238,1007.66750535618,265.175035738246,413.327718640554,0,0,0
1987,0.795744052278269,27.5168408720702,101.47758995406,273.605501875832,473.833863286921,703.6686318982,1030.99637822525,2222.97548877953,2214.67946420499,4153.70279820733,3204.3585874606,7503.61940870802,6702.20759354001,4830.0653119456,3784.71348451051,2055.39564862642,1462.38792607936,502.009981819373,721.378814798114,464.117357068474,0,0,0
1988,0.590231942969448,7.34250057147977,55.0652389221959,169.594812440923,397.760862201113,591.516386295204,817.946881369058,1090.40897628027,1940.65419444654,3353.24872171624,3226.57481487139,4151.65956724163,3550.02654177886,2969.48184731653,2612.82576349515,1874.89178620223,1265.87269108936,801.736105155733,162.67578966822,377.120099507256,150.133506424592,73.9639110836822,41.5086181746874
1989,0.455681644541631,14.0474244878831,56.6532612601111,149.477368754407,332.071868940431,698.32418368666,1073.77856672149,1820.67182410473,2957.69441925341,3686.92884260684,4780.43572238944,6390.22715156537,5226.95409765776,3192.43296878711,2228.16931482937,1856.40056045375,1221.26071006596,1163.40125244624,606.764700590964,260.962582332616,0,134.45378388675,61.9588280935677
1990,2.29869206507695,16.2292759171243,129.539162197613,199.613469042806,469.162408349575,779.342402536969,1381.79170942863,2308.9819429878,3586.45710251895,3534.50458334086,3574.15053734435,3417.40005795798,2606.47054992867,1595.84945194949,1963.85243236289,1365.61730332243,249.878783646778,59.1941388918052,363.477456175469,329.983225068548,0,0,60.2389748036715
1991,0,11.0075694436871,84.9620864754969,305.402752479109,553.84361702249,762.520557663593,1291.16987854748,2063.54163383207,3013.73250372963,3803.37500767448,4600.88783055826,6160.65308231774,4323.36389941464,4032.24355041092,2163.15522558652,1570.45604769811,1321.84485793397,547.900276662023,440.963781330487,108.646521630949,90.2422985227506,0,0
1992,1.08054857431443,13.8480836490218,40.6499280890526,237.685756455146,412.703007559431,727.298083693514,1107.10655857968,1593.53154666513,2006.18362382339,3132.56096808739,4053.02054294443,4739.51158983262,3718.01698834028,3304.60504307646,1975.72026876998,1347.55262091511,972.386176322061,673.931151892693,249.548619874712,185.279328456113,199.680789945409,96.0313089651041,0
1993,0,27.5087261350139,113.747937567221,336.944648664347,688.581889360989,1325.38502775279,1548.36069234533,2120.57222125879,2413.97594016868,2968.55307823495,3500.63035790001,4158.74191176895,2503.22927160213,3031.65376002854,1725.34840358318,1377.25454083905,768.998730389458,522.113713900553,385.772773949036,84.8222346208947,0,0,41.2273500575156
1994,0,11.3387039329221,55.7094351504894,274.626863873162,541.161796397182,1028.31537848615,1705.10741682219,1815.67019624903,2407.33832964569,3166.58436973864,3102.70649891746,3666.96425543933,2840.56108555672,2211.46325014042,1837.39882584059,1364.31326712765,849.82988344825,587.065639878724,298.121804431933,270.543747032268,0,0,0
1995,0,24.2987154839341,72.8225434060846,199.19787237955,492.697285160793,777.308052325085,1433.97369536841,2144.38863541569,2488.73026961225,3045.58845775863,2937.73065898869,3581.19761741045,2250.7061466083,1679.13258465179,1128.51449532711,1185.05588199433,787.309104899124,327.030000985217,292.497403365184,144.189481795149,0,0,0
1996,0.61356322082194,19.5717524112743,147.370390572172,329.667513521809,625.976145081879,1558.47961852638,3876.78410958364,5577.32248524738,5206.40763359432,5144.90394839362,3502.9731909085,3173.08273018462,3270.6648475688,1532.09076715338,1608.75563714882,1118.73250215724,1380.5006193086,763.977944760202,77.3671428770534,0,0,0,0
1997,4.44296383856517,24.7579899192741,129.497352744354,494.008027623722,920.319435567724,1132.46576386787,2762.96556019347,4377.13668017922,4904.56063829824,3834.59290264969,3976.63668741975,2224.421561011,2307.0935294749,1462.77244645806,1119.1935140363,876.869987851113,637.377247852101,706.435525198191,1190.6412587416,140.933659960031,367.237645070483,173.87713503084,0
1998,11.0111960026156,33.7177038509143,212.858499098776,425.343909141326,760.734360259464,1171.11513120145,1259.63206338586,3138.68148290125,4651.94073301842,5179.06971065596,4571.77655296807,2856.54549056402,2534.04347619167,1799.39566199964,2239.6497580807,2332.71882559124,1293.26583044884,804.139062686869,218.341193769269,195.160990584896,115.942934657157,39.6428169283984,150.360095018583
1999,0.773156295701921,43.9947952811667,132.843316164138,338.937562104387,871.15583635941,1426.12080330325,1638.66072115729,2055.83015873054,4639.60918817474,5665.44767397738,4684.62550804187,3499.27497322891,2710.4028502376,2566.32113574178,2395.94914710262,1178.29562371574,811.321396372078,633.674536105002,0,83.1847330498467,317.888391974135,67.5319747795775,0
2000,7.02000887547646,35.4174167896751,267.390673398753,375.033153125485,603.174427097371,1398.23057129407,1419.88660386028,1883.08911577709,2119.47864751596,3581.65926286828,4032.46744771576,4677.81536673891,2931.77653611477,1806.60450865899,1039.95605050843,1288.94201242343,1303.08511685468,486.249493045784,95.8309772777727,232.038252931197,0,108.206140187766,95.8309772777727
2001,1.48530255185039,51.4058386598137,197.078181998868,631.14604390275,769.834221634797,925.843961587652,1267.20433540071,2635.30235027117,2668.18843827361,1859.44147292268,4518.03029795724,3405.61659564653,2804.58336768533,1558.49038516447,2266.92030957854,211.266552023166,592.936149499747,319.789313792406,445.800203034937,0,229.420570976291,229.420570976291,0
2002,2.59995162567608,52.2521739157432,312.195681407339,482.709431677647,1464.41756817369,1245.47637524743,1802.33930685769,2072.19229749706,2734.17120187141,3282.94436821293,3808.00304507616,4769.22191861343,4101.60897662383,2293.70961780092,1872.52969020277,1034.95972233491,561.673226715853,642.715942506618,274.128857098803,0,0,77.6313570613656,0
2003,2.97951337994691,28.6112127386901,215.075852502192,416.931552835288,1024.15508076345,1885.81439978818,1856.79227057893,2326.784951693,2895.22804453758,4078.30844256276,3898.55429010916,2973.68336451424,5564.75162833902,3867.48478406779,3040.92015835569,649.566317104945,566.019264210511,234.542733216556,280.54558058439,276.980302448481,372.109591818968,0,238.445223773064
2004,7.43077605537852,26.3796193571388,90.5190583902894,333.28372293396,768.038866348012,1054.45833649645,1639.71260134436,1401.28446955606,1810.08525058128,3343.71357541471,2490.88762506812,2752.15687989473,2149.61623601392,2458.20936339795,2294.91062643603,1336.30953586691,319.350848728742,162.647417913698,128.486697271213,0,135.877845109664,0,0
2005,1.45103425649047,41.8359533186568,162.127821837367,361.535144957342,606.705132736244,1038.81805701214,1620.70935867121,1905.7901321237,2222.40457344787,2190.33514905138,3494.99269292786,2944.04556881209,2588.03186081964,1926.27574614848,2309.3187333904,1134.01287636658,611.344782821088,130.573224022172,223.107193706125,142.761943109573,0,0,0
2006,4.3708279711059,24.283497086434,78.5613855464738,228.420537381954,467.479452569816,1045.82189719127,1452.72123065828,1905.5924447014,3155.71843262892,2726.10129156409,2481.0348447903,2408.61550406765,3550.08320485137,1310.13647934914,2684.06263969463,1908.56964795093,1328.96570722753,97.7550088360787,0,69.8999388847625,179.534662768556,179.534662768556,0
2007,2.24294702396201,33.7213231337336,102.047533232748,147.205712636268,442.661592648462,691.409145945016,1461.75347645917,2445.42050691401,3020.56100806494,3958.38283222277,3082.82926341494,3280.40946986087,2761.13903489162,2695.16185324204,2247.63580197605,1761.59047528805,2203.628940633,1245.69034720174,389.641399121212,105.236301841498,265.352035170013,141.131348943515,0
