"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,0,0,0,0,0,0.000381185375234628,0.000370693802272039,0.10622511761998,0.123296780951654,0.467217107866355,0.666078034649852,0.570409826039127,0.363952292264099,0.309755404189735,0.487315626466749,0.251116355157401,0.0754805404796472,0.0376284865980298,0.0201011690410768,0.00151946917772014,0.000130844740832733,0.000400551035212237,0
1983,0,0,0,0,0,0,0.0107501481315861,0.180407559112128,0.411890884711513,0.588217267985708,0.696209692690837,0.818108950607452,0.550430709531472,0.455580381866201,0.399979119105404,0.279274295336847,0.104045107797095,0.15137503491071,0.0322995765257423,0.0199658811813801,0.000815859456415016,0,0
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,0,0,0,0,0,0,0,0.00387584116520964,0.00655491219974475,0.0511582960778485,0.064047001795167,0.209709079263836,0.255824827044195,0.240966426134934,0.415579191356645,0.416191637292539,0.261786960952975,0.336922649581273,0.126920103596711,0.15868587427767,0,0,0
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,0,0,0,0,0,0,0.00211951477130668,0.0407450748895236,0.116229155107612,0.617802315592369,1.03083535507102,1.62766430068485,0.963726860355577,1.02860600499302,0.433568416277405,0.159997925751668,0.053181375100574,0.00467879053001631,0.0320602565265102,0.00371800555278003,0,0,0
1988,0,0,0.0314655252502428,0.382896482458641,0.797104064914987,0.694217152834378,0.828768810380254,0.888707820484468,0.919125940685611,1.08762556977124,0.829013210287474,0.915462723388213,0.739574748411461,0.602665167982869,0.687002267554162,0.546088518137607,0.242061553071296,0.15099015827895,0.0385426772818932,0.060906685913921,0.00533871731746908,0.0134950909969357,0
1989,0,0.014477804324922,0.0488522827977697,0.101867406321723,0.142188764629064,0.16629530955778,0.159996316452891,0.306912295879783,0.783955379258424,0.936651375003274,0.902162232116878,1.1966357996391,0.865440921872455,0.566290838124285,0.406818619507712,0.33328256405006,0.112854335733264,0.107429401429248,0.0713877419416401,0.0383480911287685,0,0.0100722538500273,0.00141465563418529
1990,0.00201390030500774,0.00955207404043184,0.0283559582840111,0.0571586740578928,0.121725454514307,0.134827323390823,0.347735260904953,0.913302272065065,1.52268342602328,1.68269321988227,0.893177855894225,1.14758833004046,0.659280738542116,0.347970685847055,0.316941563148024,0.098929680649203,0.00237030608394687,0.00414621442505198,0.00414297597684273,0.000634952277898075,0.0271685691029051,0,2.82835340730411e-05
1991,0,0.00505824612852004,0.0371027969660671,0.220939356890544,0.491015373181632,0.570489705984362,0.789292199176453,0.656749139517971,1.13316256466185,1.45624901283792,1.93702692757059,1.7198830023896,1.14046097444997,0.802257745284033,0.45737279569779,0.385199512063276,0.0576932523479537,0.110510295351466,0.133453595407197,0.0204603231040797,0.00101200091879991,0,0
1992,0,0,0.00137955520266195,0.0151751072292815,0.037538085389886,0.0769729653451049,0.13558352803236,0.292660002435421,0.52513403072983,1.01473159132891,1.40325058747313,1.69241215478,1.30711196631114,1.10519837049775,0.607915587305262,0.33756987587283,0.220170389907818,0.152605959053354,0.0303424235098651,0.0284622769514079,0.0125119654570989,0.0148299283620813,0
1993,0,0.0196219076231455,0.0790117022827228,0.254951091997952,0.420835384318058,0.639379156159168,0.694838782081546,1.04950262161277,1.27907519138165,1.43208491187579,1.29894173517034,1.10647837570494,0.609531619978098,0.645376285271016,0.30855315167915,0.191388094608467,0.0940645791831681,0.0469093298186243,0.0303721206003012,0.0102618472406709,0,0,0.00746160505050332
1994,0,0.0013197371466864,0.00762002715529009,0.0486506894253996,0.0862783277190697,0.138591085900431,0.235448156501278,0.372020332809478,0.647986349759803,1.11287439445051,1.20909054912889,1.387952838642,0.900609394480286,0.646438290338193,0.417964257003936,0.218621026097377,0.119315556229127,0.0474161118213636,0.031846809631991,0.0265025784560755,0,0,0
1995,0,0,0.00972264702942188,0.0439334955262908,0.0886742017304133,0.0862497330914779,0.169237371573852,0.391955114094594,0.592735652074685,1.00942183853857,1.11292008113672,1.34813348939305,0.786491632851906,0.528623451363817,0.323709531318617,0.227511010672828,0.144601921588654,0.0466407805907128,0.0605764805105118,0.0217098723286641,0,0,0
1996,0,0,0.000449657046163927,0.00182071888865051,0.00427292510367483,0.115004320771664,0.755885804529475,1.33776540188627,1.23575207202416,1.38621020890112,1.0279838552144,0.886264428786128,0.956460045755169,0.388214268096988,0.274486652212298,0.162823158175852,0.135727543665822,0.0651918519932912,0.0206134452306947,0,0,0,0
1997,0,0,0,0.00012588019681606,0.00316254636963322,0.0120413216398655,0.0422801127328536,0.11436806653919,0.244277201803952,0.66651578283389,1.20575738372125,1.0114520973629,0.638541288712065,0.742360518517515,0.383472319730192,0.315944582193207,0.0232133475804247,0.0450943723734056,0.0845384429621583,0.00333221264661618,0.0661917768514327,0.0279326767003992,0
1998,0,1.12165557428849e-05,6.75699092668965e-05,0.000207604741001153,0.0135124967528324,0.0146750776825119,0.0599370903975632,0.342553709746765,0.863350675844744,0.973722495152666,0.768192353853625,0.586976854982702,0.485723743011566,0.303680342610626,0.401093412312556,0.37094812654976,0.218316245571084,0.147354170702742,0.075038507234275,0.0252395117862199,0.0120489192311878,0.00761959384459702,0.0195831117507107
