"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,17.1105692648401,38.0419554177849,77.8897905780259,156.318449713251,236.688631820513,350.670365529722,562.041745121054,699.009851969302,941.822414118004,1214.73879286482,1447.39539790442,1680.72712352245,1971.49119339078,2430.7228178186,2758.00625553107,3704.0289795511,3522.0620476439,4002.06185316893,4160.09054110324,-1,-1,-1
1986,-1,17.0595487432067,47.0266713871994,76.3341692742111,130.695841166491,233.046711120984,336.977795964821,490.442963075939,693.625514385791,949.550518137953,1256.90663510246,1486.58906424368,1896.86857358391,2235.42509313627,2727.52190996892,3607.65267820737,3889.90717901751,4695.22342110628,5169.14524787682,5512.45751758669,-1,-1,-1
1987,-1,16.6805091477826,34.2164223176326,77.8788490862541,147.989887566548,229.134020481122,357.822409419374,608.050818477246,749.568415815729,1050.91462314567,1210.13996498939,1655.57381364901,1866.64581996954,2184.06710175246,2703.87013545549,3231.20369075105,3433.55675115697,4110.47082836831,3495.64995411188,3873.78734611016,-1,-1,-1
1988,-1,17.4569858661434,27.8636537663621,64.7337986223161,124.25499029254,228.860482927277,340.797997193368,475.210866801961,748.56508728137,996.988244068846,1186.58373014374,1600.48079465323,1710.28360034325,2082.21889423327,2385.64372530616,2792.66364693365,3211.04023354395,3336.44562737845,3016.05491054791,3901.54679214312,4426.67189121393,5118.05290044402,6510.22757618302
1989,-1,18.4865165746998,31.4129884882951,62.3818341199975,119.290012847732,232.770927823679,362.337954935745,622.147536644548,989.59521424007,1115.73930354357,1383.1445024419,1737.55424227943,1896.71823395284,2075.51919698631,2258.38238876335,2536.87764567238,3400.02124775371,3501.87225347858,3903.41334773842,4004.70309674456,-1,3344.23925893768,3308.28389503292
1990,16.671491118075,17.7280730361154,43.1170122491138,79.7315643471498,140.742499659467,257.902979199706,435.150900849245,805.544541438961,1068.85728607307,1278.45707687504,1484.56945687488,1887.46781116403,1889.0187869049,2171.71217629141,2657.26634526519,2843.74941062745,2115.41695627179,3978.63440942402,3333.54536663548,4399.57958360953,-1,-1,4715.72047223933
1991,-1,17.1916291738741,29.7214067768344,67.9168900970967,126.285272150673,204.123882409812,308.618219746299,494.898785501049,721.385280085793,999.159492864489,1221.71410386659,1538.68495579054,1849.96816879602,2284.69497634525,2632.06082063055,3184.68062618278,3865.76198071072,3775.75106490156,5691.95791090024,7016.73354374912,4745.72667971698,-1,-1
1992,-1,16.6822504626296,25.5582071347289,58.9845259338713,114.537322736237,191.90897266124,296.694006124505,456.46981422077,633.550586990182,890.123875123113,1127.72008709779,1438.5103412647,1692.16836393668,2192.65226692377,2652.12771297696,2981.75149562274,3209.66103105315,3569.70993127924,5581.35012893989,4599.74187170435,6340.82240076958,4654.86019220328,-1
1993,-1,18.3474971346489,33.770788124933,71.334325406602,141.055347430482,250.878744190227,372.586002244518,532.323748765385,740.521420738767,919.494154023816,1229.18315352241,1600.75764420547,1757.45689506754,2180.75005781641,2626.49133999027,3162.09542869922,3329.5729749958,4639.87669634421,4708.11180714774,7685.90816967825,-1,-1,2713.12896836532
1994,-1,16.6660412954183,23.4303095608705,50.6961473155021,107.588494698909,194.363477727669,309.431578885786,448.637792634802,600.871740166017,817.783155735482,1010.63095278503,1398.78742548551,1712.61070129056,1896.10684870647,2417.13350126222,2612.76289461891,3205.85489127106,4492.20424623292,4138.48467808144,4300.31881769777,-1,-1,-1
1995,-1,16.4114567500685,26.4028041294819,57.7546481606088,104.75876000603,175.428389136893,311.71130183835,505.038607813459,682.931970846354,887.481097623931,1169.83625408581,1519.3472841301,1701.10249068167,2054.22761004514,2452.65448423931,3080.39506122263,3482.11211813033,3636.93759169227,5341.39498919081,4543.13761905525,-1,-1,-1
1996,-1,16.9536906498702,38.5457039543816,80.9472881186699,133.073525804658,242.403083189113,552.981481629912,738.774432781104,820.911469534746,1057.30537640935,1216.69368847208,1463.59731576885,1821.8668171174,2016.30627504382,2661.20529591345,3199.59894946189,3734.75458628482,4175.84711972639,1340.4438287056,-1,-1,-1,-1
1997,16.5820538492934,21.0974133451085,35.0641205524705,79.533617368871,162.142253293259,277.684001615378,434.739800683984,746.575046410447,931.67984779616,1101.38141406587,1221.73328546111,1237.68876048537,1686.07935693448,1654.39826400203,1929.3307122205,2515.35153808745,2105.83242032746,3317.08559208966,3231.6775651593,3928.52504452905,5177.22756023163,4669.6069057304,-1
1998,17.0438669955118,21.2313562667495,59.0598162219329,86.8350534899474,164.011473449391,234.366456614673,335.459131375116,553.551554781602,902.088363414679,1221.95330488836,1291.29557060166,1369.63064165043,1514.33870563731,1549.51500232343,2117.0599970776,2416.611746938,2403.08131870115,2135.10027119218,3963.24814269088,2690.85673074923,4000.37538437492,1059.46520447931,3279.38854398126
1999,-1,22.321044456736,41.4820561176789,89.2675745558622,144.144803075497,240.539868468815,327.799631764444,505.043047257226,814.522696730237,1181.60095452195,1392.52681392326,1518.10658272787,1751.01656326288,1890.92561422686,2712.31355171669,2833.98198116898,2954.06637482163,4006.36815975132,-1,2198.45911246814,5571.31812522049,1759.85398551832,-1
2000,16.4567956365037,22.1314844320004,56.6289197246913,92.0749332769375,150.504743683889,231.082038957066,332.569880447101,537.683626050055,661.29128223179,1070.30496084608,1272.61581880857,1599.39365260188,1453.96911485341,1306.1244816501,1698.80713396485,2552.01679696282,2506.4107524121,3184.13968101068,3306.69596819851,3645.13590062307,-1,2706.1668237856,3306.69596819851
2001,-1,33.3705844786629,56.8074992500241,139.561601644512,197.493059162815,262.489351816396,336.154676418355,516.495569096386,780.997394286025,916.084674796475,1154.74678794585,1427.10229630443,1611.30154501171,1472.4738496186,2078.90180696424,1303.49001726352,3129.50391618738,1997.89878340909,3341.94340988522,-1,3947.2986728453,3947.2986728453,-1
2002,17.7300607515769,39.2460055787733,68.493203488194,100.344235846156,243.670189896472,344.984110232763,584.8725042629,584.837903032298,765.695535636214,1100.34237625616,1387.25864156262,1556.31060405809,1891.20786787673,1860.43986528385,2175.21776961318,3060.75211773959,2182.69830472383,3930.89189698953,3560.81991743253,-1,-1,2125.06622141275,-1
2003,38.6151765601362,18.3400139252055,49.8245932541355,101.758059953534,203.815841371309,345.083267677931,536.992683100808,667.860857766269,751.060508431662,1062.2783689451,1469.09762359858,1322.00768646221,1843.56416712042,2161.34106972364,2500.64621868215,1904.07379393613,2566.78667350124,2798.58849600263,3040.15323145024,2831.76668401322,5054.60321499634,-1,4712.37684812435
2004,16.2824829730884,27.8272247547231,39.588022003802,87.4597737220585,166.44840522943,288.575755705948,478.051140616585,511.481866055722,774.997681880221,1011.68279627437,1397.54552990836,1524.12909668886,1658.42074087382,1845.58134615792,2547.88823884667,2990.44411088473,3081.62702422637,1850.58008082917,1420.25051538714,-1,7804.14961555344,-1,-1
2005,-1,28.298823922685,54.2075508316995,97.5356028125752,156.728751541403,311.861231398389,483.17693782935,611.20346401564,877.123501739796,1124.5742261569,1191.10529338872,1574.28308472885,1692.34346315998,1693.3283780895,2074.21330235916,2134.4726653405,1819.25207034982,1417.05717152296,2978.43261156392,2064.29758821509,-1,-1,-1
2006,16.7940554547111,26.0589089102429,44.2306053831037,89.1749771542978,154.054713311555,265.527419245711,444.970132005823,618.986703948683,922.550696818628,1096.91021580691,1239.79176099083,1388.9880244773,2061.92540416384,1526.74000212225,2301.20906136493,3088.68217613598,2851.54270134308,1280.29128138917,-1,1376.54896733246,4728.19007947334,4728.19007947334,-1
2007,-1,19.1939477288195,43.6055762642203,83.8151299458403,166.318636469173,229.935640543611,391.869393827701,774.722626716893,1014.84475649331,1453.38065381467,1667.26777045127,1442.31065572373,1930.45624858308,1955.31525187684,2504.34099981741,2344.61796794803,3077.08948507446,3819.81645149717,6094.16603359656,5535.47851705311,2920.21029618694,4737.38460353327,-1
