"","age","cno","cwt","ctons","prosentno","prosentwt","year","yearclass"
"1",3,0,NA,0,0,0,2010,2007
"2",4,7,279,2,0.186130610508402,0.0998103603154007,2010,2006
"3",5,150.8,391,59,4.0097851520953,2.94440562930432,2010,2005
"4",6,670.4,450,301.7,17.8259944692619,15.0563928535782,2010,2004
"5",7,1008,512,516.4,26.80280791321,25.7710350334365,2010,2003
"6",8,1071.8,570,610.9,28.499255477558,30.4870745583392,2010,2002
"7",9,592.3,585,346.3,15.7493086577324,17.2821638886116,2010,2001
"8",10,178.7,650,116.1,4.75164858540736,5.79399141630901,2010,2000
"9",11,59.8,586,35,1.59008721548607,1.74668130551951,2010,1999
"10",12,15.8,786,12.4,0.42012337800468,0.618824233955485,2010,1998
"11",13,6.2,641,4,0.164858540736014,0.199620720630801,2010,1997
"12",3,0,NA,0,0,0,2011,2008
"13",4,51,332,16.9,1.43698402411879,0.882184058046667,2011,2007
"14",5,212.9,452,96.3,5.99870389676256,5.02688312366237,2011,2006
"15",6,701.7,497,348.9,19.7712096024344,18.2126637782534,2011,2005
"16",7,1040.1,520,541.2,29.3060212448226,28.2507699535418,2011,2004
"17",8,850.7,563,479.2,23.9694570454481,25.0143550660333,2011,2003
"18",9,505.3,620,313.3,14.2374123017103,16.3543352299421,2011,2002
"19",10,148.8,620,92.2,4.19261221154659,4.81286213916584,2011,2001
"20",11,35.3,704,24.8,0.994618353948888,1.29456595500339,2011,2000
"21",12,3.2,898,2.8,0.0901637034741202,0.146160672339093,2011,1999
"22",13,0.1,895,0.1,0.00281761573356626,0.00522002401211046,2011,1998
"23",3,0,NA,0,0,0,2012,2009
"24",4,42.5,427,18.2,1.46183744367626,1.12165660051769,2012,2008
"25",5,269,484,130.2,9.25257111409211,8.02415875754961,2012,2007
"26",6,754.4,500,377.2,25.9484745296323,23.2466411931468,2012,2006
"27",7,648.2,541,350.9,22.2956007291989,21.6257857759152,2012,2005
"28",8,647.7,593,383.9,22.2784026416263,23.6595587328978,2012,2004
"29",9,374.4,626,234.3,12.8779279744092,14.4397879945766,2012,2003
"30",10,123,724,89,4.23072954287483,5.48502403549858,2012,2002
"31",11,29.2,871,25.4,1.00436831424346,1.56538888204117,2012,2001
"32",12,12.8,788,10.1,0.440271041860145,0.622457783803772,2012,2000
"33",13,6.1,553,3.4,0.209816668386475,0.209540244052755,2012,1999
"34",3,0,NA,0,0,0,2013,2010
"35",4,17,348,5.9,0.548829701372074,0.332656743346865,2013,2009
"36",5,115.2,513,59.1,3.71912832929782,3.33220568335589,2013,2008
"37",6,774.3,513,397.2,24.9975786924939,22.3951285520974,2013,2007
"38",7,924.5,528,488.5,29.8466505246166,27.542850699143,2013,2006
"39",8,575.2,589,338.9,18.5698143664245,19.1080288678394,2013,2005
"40",9,360.6,627,226,11.6416464891041,12.7424447451511,2013,2004
"41",10,204.4,713,145.7,6.59887005649717,8.2149300857014,2013,2003
"42",11,64.7,740,47.9,2.08878127522195,2.70072169598557,2013,2002
"43",12,31.5,1000,31.5,1.01694915254237,1.77604871447903,2013,2001
"44",13,30.1,1093,32.9,0.971751412429379,1.85498421290032,2013,2000
"45",3,0,NA,0,0,0,2014,2011
"46",4,6.7,442,3,0.321666906716597,0.249335106382979,2014,2010
"47",5,82.1,476,39.1,3.94161985693024,3.24966755319149,2014,2009
"48",6,347.6,524,182,16.6882711604014,15.126329787234,2014,2008
"49",7,629.7,556,350.1,30.2318882327524,29.0974069148936,2014,2007
"50",8,567.3,585,331.7,27.2360651015411,27.5681515957447,2014,2006
"51",9,276,657,181.2,13.2507561572807,15.0598404255319,2014,2005
"52",10,141.2,647,91.4,6.77901003408709,7.59640957446809,2014,2004
"53",11,23.6,742,17.5,1.13303567141966,1.45445478723404,2014,2003
"54",12,3.1,906,2.8,0.148830956839023,0.232712765957447,2014,2002
"55",13,5.6,785,4.4,0.268855922031783,0.365691489361702,2014,2001
"56",3,0,NA,0,0,0,2015,2012
"57",4,6.5,442,2.9,0.210063665449375,0.163684596715019,2015,2011
"58",5,121,451,54.6,3.91041592605759,3.08178585539313,2015,2010
"59",6,415.8,499,207.7,13.4376110913615,11.7232037026585,2015,2009
"60",7,821.5,545,447.7,26.5488155641017,25.2695151549359,2015,2008
"61",8,989.5,578,571.8,31.9781533787933,32.2740870350511,2015,2007
"62",9,446.8,626,279.7,14.4394531881201,15.7870971383417,2015,2006
"63",10,204.3,669,136.8,6.60246259250881,7.72139752779816,2015,2005
"64",11,75.8,810,61.4,2.44966551400963,3.46559801320765,2015,2004
"65",12,6.9,637,4.4,0.222990660246259,0.248349043291754,2015,2003
"66",13,6.2,758,4.7,0.200368419351711,0.265281932607101,2015,2002
"67",3,0,NA,0,0,0,2016,2013
"68",4,3.6,440,1.6,0.114927850849189,0.092197764204218,2016,2012
"69",5,74.6,459,34.2,2.38156046481931,1.97072720986516,2016,2011
"70",6,318.5,492,156.6,10.1679223598519,9.02385617148784,2016,2010
"71",7,581.3,517,300.5,18.5576554718427,17.3158925896047,2016,2009
"72",8,668,534,356.6,21.3255012131273,20.5485766970151,2016,2008
"73",9,866.7,580,502.8,27.6688800919423,28.9731474011755,2016,2007
"74",10,474,605,286.7,15.1321670284766,16.5206868733433,2016,2006
"75",11,77.6,619,48,2.4773336738603,2.76593292612654,2016,2005
"76",12,64.3,699,44.9,2.05273911377857,2.58729975798087,2016,2004
"77",13,3.8,904,3.5,0.121312731451922,0.201682609196727,2016,2003
"78",3,0,NA,0,0,0,2017,2014
"79",4,3.2,647,2.1,0.134245081176323,0.14480761274307,2017,2013
"80",5,41.7,503,21,1.74938121407895,1.4480761274307,2017,2012
"81",6,231.4,503,116.5,9.70759743256282,8.03337470693697,2017,2011
"82",7,597.6,560,334.9,25.0702689096782,23.0933664322162,2017,2010
"83",8,606.7,600,364.3,25.4520283592734,25.1206730106192,2017,2009
"84",9,409.7,632,259.1,17.187565549356,17.8665011722521,2017,2008
"85",10,326.7,700,228.5,13.7055837563452,15.7564473865674,2017,2007
"86",11,126.7,710,90,5.31526618282502,6.20604054613157,2017,2006
"87",12,36.9,829,30.6,1.54801359231447,2.11005378568473,2017,2005
"88",13,3.1,1040,3.2,0.130049922389562,0.220659219418011,2017,2004
